Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Fasted_1	CPM_Fasted_2	CPM_Fasted_3	CPM_Fasted_4	CPM_Fasted_5	CPM_CACS_1	CPM_CACS_2	CPM_CACS_3	CPM_CACS_4	CPM_CACS_5
ENSMUSG00000107470.3	Gm3375	10.529092798672306	3.05511073507685	335.0386979266416	4.218381739302593e-10	6.47479413165555e-6	0	0	0	0.03601977894014239	0	10.954867372374956	11.246230787945168	11.462043575340562	21.666431475833438	26.318687052420266
ENSMUSG00000030747.6	Dgat2	-1.5479528169774008	5.315765379860434	218.22232274565278	4.928985149226086e-9	2.6075837161203793e-5	58.434981895096406	52.854663708967564	66.49320932341774	50.75186852666063	68.08639393980704	23.83328747394637	19.99731712454559	20.37297400381849	19.335684730902944	17.83997230140104
ENSMUSG00000099906.3	Lincmd1	2.8821690370721402	2.98006298391116	216.17702232396448	5.1998462478312185e-9	2.6075837161203793e-5	2.428837878280291	1.4806192439645636	2.079976259868579	1.116613147144414	2.166903659725852	17.49963824366535	12.728852853236976	13.402326813799466	11.154287993595918	13.647894004428712
ENSMUSG00000021622.4	Ckmt2	-1.7696698266123316	9.246787024370109	197.07051240634456	8.784504644944185e-9	2.6075837161203793e-5	823.2688861247415	896.3600036950121	944.3092219803349	1022.7816230053431	1010.5754383595145	212.88098801777886	320.89727335120716	323.5961267696461	285.01703052292856	235.32373357289785
ENSMUSG00000044006.9	Cilp2	-3.035609189186489	1.8898435320287708	192.93264119008145	9.903449169976021e-9	2.6075837161203793e-5	4.786239348375867	5.027218828344798	6.239928779605737	9.437182082317307	7.451107321162579	0.6568228831402543	0.831714817114916	0.6467610794863012	0.9988914621130673	0.8510234136710744
ENSMUSG00000004748.6	Mtfp1	-1.260050700484195	4.63590651092988	191.94979694213018	1.0193173689961741e-8	2.6075837161203793e-5	36.28969535783493	34.94950075869842	36.8452937462434	35.44346247710011	31.59117440758216	12.33888701899192	16.815103911236346	15.019229512515219	15.791998353406587	13.206622604747414
ENSMUSG00000029591.15	Ung	-1.904599286458312	3.3708678483425376	175.99691164812666	1.661575296828555e-8	3.065370171881723e-5	20.180785312181825	18.249493007005086	14.559833819080053	16.533078533525355	11.898962201652486	4.034769139290134	5.3157425267779415	4.239878187743531	4.162047758804447	4.034481368514723
ENSMUSG00000042608.16	Stk40	0.8371926990153066	7.364608331164599	171.2465482163448	1.937406068896442e-8	3.065370171881723e-5	124.62081407823433	107.1210806505525	114.59678726990218	117.20836067122333	127.58120494806947	217.0565049177419	208.39880395796786	213.79046794130514	210.43313468515285	206.3889375080813
ENSMUSG00000040752.17	Myh6	5.568444014686971	6.425914050635447	169.78169490212764	2.0330123933862857e-8	3.065370171881723e-5	3.857566041974579	2.1004133460892644	4.424076489244279	2.953621873091676	4.371823173131105	103.16810857324424	74.23958780595315	141.6406764075	186.24569142398644	335.3977831434779
ENSMUSG00000030189.16	Ybx3	1.1639103707322624	10.51273785573637	165.65519870745112	2.3334269567922044e-8	3.065370171881723e-5	921.3867927664468	887.7173192709398	858.1057614324482	847.3292797879096	993.5443359111429	2228.5531265746586	1675.6883874038301	2091.0145011502946	2031.3409207271236	2074.3222917447065
ENSMUSG00000027809.15	Etfdh	-1.2167081268846163	7.14516817691449	163.00925113263585	2.5533689396715602e-8	3.065370171881723e-5	194.55705769106976	191.34421252816466	210.50680369717554	201.02638626493467	191.98006108097462	86.11417157170978	106.09788145283319	72.7606214422089	77.81840152461801	82.959023140084
ENSMUSG00000021868.8	Ppif	-1.245104625589886	4.718190929866676	161.85389487704205	2.6569418118683483e-8	3.065370171881723e-5	43.397617972214015	37.77300722393317	38.165913593779	33.60645375115285	31.895301237017367	14.614309149870659	18.261564462740548	14.73178014385464	14.57905872084072	15.854251002835202
ENSMUSG00000020321.17	Mdh1	-1.0056220285388218	8.074485543769867	161.67441831485112	2.6734676602037128e-8	3.065370171881723e-5	340.6087942247184	371.77316225779987	372.0186110507801	368.48233855765665	346.24839531198353	150.4828141194547	194.72975174625316	192.23176529176177	179.80046318035212	178.90403318507475
ENSMUSG00000019082.19	Slc25a22	-1.5308759332929573	5.256078915745241	160.38323927375055	2.7959595026610278e-8	3.065370171881723e-5	63.828430713042344	59.603532820992086	60.814543979014644	51.61634322122404	47.82394392868635	24.232072795852954	21.986200382863867	17.642205001542997	16.695757295318412	17.58781721586887
ENSMUSG00000024507.7	Hsd17b4	-1.2876083266173957	5.8732204308177	153.79091448138757	3.533529477045668e-8	3.276617324094418e-5	83.4020065556541	86.84004030880533	88.67962276201592	77.62262361600685	79.03495979947449	36.359838173835506	41.766548424683826	27.05617182517694	31.798044877265976	33.25295190455495
ENSMUSG00000031147.9	Magix	-1.3769828738284393	3.6922389887755447	149.89757443501048	4.0755567340109194e-8	3.276617324094418e-5	17.251892576608537	18.66268907508822	18.45566236931009	19.018443280395182	19.69221220592967	5.6533683870286175	9.004216933113655	6.611335479193302	7.777083526451738	6.839706695060117
ENSMUSG00000029545.14	Acads	-1.2094608448598003	5.45102236489057	148.43593086614936	4.3037097733844746e-8	3.276617324094418e-5	56.470480670016755	56.022500230938256	59.65900161242099	63.6469493872316	69.34091711122727	26.296373285722325	32.79849300535778	23.858297598828003	24.139877001065795	24.900314696301805
ENSMUSG00000026603.14	Smyd2	1.3783967213030215	7.992325443982655	147.94950533462415	4.382921383034969e-8	3.276617324094418e-5	127.94260705882354	143.3101696135003	123.9071571950282	135.54242815175581	176.43157692609964	326.534804761155	353.37031273247646	392.36838822168943	432.94809943586375	333.09686798799686
ENSMUSG00000028229.12	Rmdn1	-1.1752350590767535	3.1852637522927787	147.21649234648584	4.505527050568706e-8	3.276617324094418e-5	12.537089636417383	12.327016031146831	12.017640612574011	12.751001744810406	13.153485373072716	4.668134062318236	5.062611930264706	6.431679623780441	5.49390304162187	6.17779959553817
ENSMUSG00000021908.11	Ncoa4-ps	11.037440003625353	2.1109742797888758	397.8468578909548	4.5644076230108556e-8	3.276617324094418e-5	0	0	0	0	0	8.562155440935458	10.993100191431934	4.635121069651826	9.275420719621339	8.41567597963618
ENSMUSG00000018796.14	Acsl1	-1.271161851349919	8.689600101884425	146.61498277178634	4.609135754131303e-8	3.276617324094418e-5	584.1355097264099	613.9404911601899	603.9524717742208	594.4344118491698	522.5659246770449	220.5751989345647	311.9292179318811	220.00656053859015	223.51385621282395	233.4956092027896
