Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Con_1	CPM_Con_2	CPM_Con_3	CPM_Con_4	CPM_Con_5	CPM_Con_6	CPM_Con_7	CPM_Con_8	CPM_LLC_1	CPM_LLC_2	CPM_LLC_3	CPM_LLC_4	CPM_LLC_5	CPM_LLC_6	CPM_LLC_7	CPM_LLC_8
ENSMUSG00000056071.13	S100a9	4.970457612454592	4.489284237197535	136.33501091792718	7.708531923829884e-10	6.229759902757597e-6	3.560758359375557	1.3759204864192767	1.2738315660560457	1.4426748388329842	1.2347827287636022	0.8609847829376311	0.12109153481638553	0.747949027068664	33.61822288622225	31.723428206401188	35.65061539918754	54.48658571363992	36.21399685802795	101.30612687856183	29.417178271312906	24.162334732426316
ENSMUSG00000032484.9	Ngp	7.854996195286131	1.5339643023014407	127.5347439890764	1.3130005752403025e-9	6.229759902757597e-6	0	0.042997515200602396	0	0.10686480287651734	0	0	0	0	3.632220960096041	5.301151818701252	5.833737065321597	6.27526205597918	4.216302664491292	15.305787307007845	2.3949469253142612	1.1002113888670477
ENSMUSG00000031805.18	Jak3	1.3102822815692123	3.551633965571089	126.88500492834108	1.3674028979941686e-9	6.229759902757597e-6	7.904883557813736	6.879602432096384	7.359915714990486	7.266806595603179	4.992817120652827	5.897745763122773	7.023309019350361	6.0459213021383675	15.33604405373884	17.53136821932697	19.526814343645903	11.64169305557517	17.73157421916201	18.6776067880071	16.312751698838646	15.783801847977262
ENSMUSG00000026180.10	Cxcr2	4.171459149815543	1.755573711622598	121.00099705723831	1.9920242634554236e-9	6.229759902757597e-6	0.498506170312578	0.214987576003012	0.37743157512771724	0.26716200719129335	0.26843102799208746	0.47354163061569715	0	0.560961770301498	9.080552400240103	6.720357817408673	8.467021157307041	5.063487314134925	9.183453748686514	5.0766720275719095	2.8468237036754425	3.131370876006213
ENSMUSG00000056054.10	S100a8	4.924323974400866	3.7431768159619776	120.55778662214507	2.050612212889268e-9	6.229759902757597e-6	1.4599109273439783	0.7309577584102407	0.8492210440373638	1.0686480287651734	1.2347827287636022	0.8179355437907496	0	0.373974513534332	13.560291584358554	17.907040395455407	19.972447036135748	33.107417053959125	21.601331459174567	67.43638961998506	18.526947912808435	13.456431602296968
ENSMUSG00000032496.8	Ltf	7.817910180750959	1.0985201611927207	117.0889082395641	2.581302385355288e-9	6.5349972055911375e-6	0	0	0	0.10686480287651734	0	0	0	0	3.430430906757372	4.132393937412786	5.064007869202776	4.587432951267539	3.349939103294451	9.509288648660815	1.4008180129196621	0.6347373397309891
ENSMUSG00000022146.13	Osmr	1.6327833932526588	4.517525143899686	105.6075078862055	5.7833232875409064e-09	1.2549811533963768e-5	14.278641021095984	11.609329104162647	12.17216829786888	9.831561864639596	8.589792895746799	9.169487938285773	12.04860771423036	11.156906320440905	32.89177869420304	29.970291384468492	42.57817816425693	30.380923884809548	56.94896475600567	29.51289186177998	25.756976366587338	27.970758770812253
ENSMUSG00000056025.13	Clca3a1	3.1257606463313055	1.5434415030832804	103.3675404898082	6.828812089358607e-9	1.2966206954669655e-5	1.1038350914064228	0.644962728009036	0.6133263095825405	0.42745921150606936	0.16105861679525246	0.17219695658752623	0.9081865111228915	0.49863268471244265	4.560455205453918	3.7567217612843513	5.793225002367975	5.496264007650731	5.833514645392062	6.819410186290624	4.518767783611813	3.512213279844806
ENSMUSG00000041445.10	Mmrn2	0.9852695657593237	4.657842056537068	93.51717813027561	1.474154312847736e-8	2.488044890239679e-5	18.693981386721674	17.370996141043367	15.427515633345442	15.65569362140979	20.29338571620181	18.16677891998402	14.107163806108915	15.208296883729501	33.69893890755772	31.63994550059487	42.41612991244245	33.67002675552967	36.964845277731875	33.41510991282406	28.513424714590542	26.997494849891403
ENSMUSG00000071714.8	Csf2rb2	2.7343959220754157	3.532754191140941	92.19109079851422	1.6436069833416576e-8	2.496639007695978e-5	7.335162220313648	2.5368533968355416	2.075873663202445	2.1907284589686054	1.6105861679525246	1.6358710875814992	2.603467998552289	3.7397451353433198	15.497476096409777	21.622020803836598	26.61642536052979	23.54305212725982	25.413331128440664	18.33663627869257	15.183059752935694	13.414115779648236
