Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Con_1	CPM_Con_2	CPM_Con_3	CPM_C26_1	CPM_C26_2	CPM_C26_3
ENSMUSG00000042834.16	Nrep	-4.855646663641217	6.747410533546199	939.8531526565099	6.569746093933669e-10	9.480143613546284e-6	200.06813897794734	237.95682392877293	184.66469825924807	7.799455279826	6.280887421294928	7.399900679704598
ENSMUSG00000022358.8	Fbxo32	4.836264247835651	10.78360805570246	743.945076963599	1.7357179383389363e-9	1.0840742693303051e-5	117.49759556887216	106.94361300742061	133.22238945845754	3603.1346555733153	3800.437137554154	2814.37407776854
ENSMUSG00000004939.8	Nmrk2	-4.59319944326051	5.368916049034533	698.5686797720455	2.253792659730364e-9	1.0840742693303051e-5	91.83455559643485	65.15692607209604	80.63309495419341	3.4723602273197947	3.4461506205335004	2.905146192772916
ENSMUSG00000123782.1	Gm42146	5.959109788651371	4.351499700241393	606.0409434885188	4.061887339758746e-9	1.4653258578179676e-5	0.8631067255304027	0.3496793885801219	0.6881914220841543	36.059125437551714	41.57613974450094	42.097212755652826
ENSMUSG00000032495.9	Lrrc2	2.2772215771993998	6.817628352334605	505.01751712347357	8.637258672742901e-9	2.4370046971514208e-5	39.47274758092375	36.89117549520286	39.226911058796794	193.54401697814794	185.4251366145122	181.43460185053496
ENSMUSG00000035606.9	Ky	-3.5690499632849395	8.045786709072923	485.8632812297628	1.0133075663831271e-8	2.4370046971514208e-5	525.4018340545405	506.97683354308003	429.4887966656859	33.65518374171493	43.354798129292426	46.15345460971312
ENSMUSG00000059890.17	Ube4a	2.421568872515076	7.349337246089061	423.0672966473411	1.7933774114554345e-8	3.164305889439726e-5	54.66342595025884	49.829312872667366	49.263035964190706	276.5601368743781	298.8701917194941	248.4174065216388
ENSMUSG00000089781.4	Gm15756	-4.787105292656953	2.624448119055629	412.63039774454205	1.9877357591572067e-8	3.164305889439726e-5	12.486277296006493	12.821577581271136	9.921426335046558	0.4273674125932055	0.444664596197871	0.38369855376246065
ENSMUSG00000026971.16	Itgb6	-4.543021331964452	4.476208134234551	412.01896758823653	1.9999119685916263e-8	3.164305889439726e-5	35.962780230433445	50.1207123631508	41.52088246574397	1.9765742832435753	1.2784107140688792	2.192563164356918
ENSMUSG00000037071.4	Scd1	-5.189866840193071	7.302294988485425	402.9044690490489	2.1928661742479043e-8	3.164305889439726e-5	236.37616189859295	393.5058719488305	291.44906725263934	7.639192500103548	6.892301241067001	10.688745426239976
ENSMUSG00000022270.17	Retreg1	3.348769069851751	9.773499624066899	380.8482109121335	2.764458355910552e-8	3.6264667341626604e-5	162.78192843503396	152.6933330133199	153.81078283580848	1852.2103661789527	1690.2257132226325	1238.7433737825497
ENSMUSG00000028339.18	Col15a1	-1.9469744568685827	4.738695782326979	345.6987763991478	4.115064707906068e-8	4.804910995247538e-5	40.96879923850978	43.53508387822517	42.266423173001805	10.951289947700891	10.89428260684784	11.017629900893512
ENSMUSG00000006542.14	Prkag3	-2.912257844092005	6.662676548068081	341.4602082441299	4.3287486443671515e-8	4.804910995247538e-5	203.69318722517505	187.6029919732354	144.86429434871448	24.09283788494196	21.455066766547276	25.65298902297594
ENSMUSG00000028834.14	Trim63	3.79509593915685	10.779966324418721	330.7160353359154	4.935281226908891e-8	5.0868648645925215e-5	242.53298987404315	215.57734305964513	250.73107477932686	3934.771767745643	3529.8587307677494	2375.477746343394
ENSMUSG00000030852.19	Tacc2	2.114831262764207	10.185208191734063	320.6487121893877	5.601957619756116e-8	5.332567868229619e-5	471.60151482981206	438.847632668053	399.66716837537257	1841.2590762312516	1974.3108071185472	1859.1291211373396
ENSMUSG00000004105.9	Angptl2	-3.164907578665723	5.694860460765769	313.3237345275677	6.158140128371192e-8	5.332567868229619e-5	76.64387722709976	105.71973514739018	96.80559337317104	8.440506398715808	10.671950308748904	12.004283324854125
ENSMUSG00000031490.7	Eif4ebp1	2.546287375191784	6.536192543864348	307.0609071686874	6.688818744999674e-8	5.332567868229619e-5	26.928929836548566	22.72916025770792	31.599456130697416	168.0088140757039	160.57950230195618	146.18914898349752
ENSMUSG00000013539.15	Tango2	2.2418615382845037	6.152166760923653	304.5834671811727	6.914301212651336e-8	5.332567868229619e-5	24.684852350169518	26.750473226379324	22.88236478429813	126.01996578842147	123.72792389205762	101.84455898437884
ENSMUSG00000030323.14	Ift122	-2.229853633275669	4.108501060649416	303.44154531076845	7.021399133497072e-8	5.332567868229619e-5	28.48252194250329	25.817994856832332	30.567168997571184	5.876301923156576	6.336470495819662	5.8651064646547555
ENSMUSG00000025777.9	Gdap1	-3.8444382957849443	3.860683185329484	295.3972829497544	7.837084767476666e-8	5.654456659734415e-5	34.984592608165656	24.827236589188654	21.219235514261424	1.9231533566694248	1.778658384791484	1.9184927688123032
ENSMUSG00000116879.3	Gm49794	-2.792659031979448	3.143749632666649	288.0463758288653	8.687462817038705e-8	5.7865502086332494e-5	17.204594062239362	14.68653432036512	13.993225582377804	2.243678916114329	2.1121568319398873	2.247377243465841
ENSMUSG00000042628.9	Zfyve1	1.6201312196526794	5.648221479799473	281.5638577951356	9.534091486723417e-8	5.7865502086332494e-5	23.649124279533034	25.29347577396215	24.717541909855875	75.05640183668172	76.92697514223168	74.49233350902628
ENSMUSG00000091712.3	Sec14l5	-1.9879779835787446	5.4083438796105705	281.3782877085959	9.559797945555855e-8	5.7865502086332494e-5	60.93533482244643	73.95719068469577	68.18830007150495	16.560487237986713	18.286831518637445	16.334595574459037
ENSMUSG00000074818.14	Pdzd7	-2.856129171899754	3.4560367310686138	280.91608277137016	9.624199931198752e-8	5.7865502086332494e-5	17.319674958976748	21.447002499580808	18.638517681445844	2.7778881818558356	2.223322980989355	2.905146192772916
ENSMUSG00000036452.19	Arhgap26	3.3283010390790593	5.7917923731639425	275.685491729971	1.0391841290701157e-7	5.998170792992708e-5	13.234303124799508	8.5088651221163	8.25829706500985	106.14738110283741	106.71950308748904	88.68917999823734
