Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Con_1	CPM_Con_2	CPM_Con_3	CPM_Con_4	CPM_Con_5	CPM_Kras-IKKaL_1	CPM_Kras-IKKaL_2	CPM_Kras-IKKaL_3	CPM_Kras-IKKaL_4
ENSMUSG00000019923.15	Zwint	3.250209332331862	7.06474941665955	706.5685084794734	5.6553462134647846e-12	8.016453257586332e-8	27.817938050205345	26.721561311021276	27.46483880999046	29.48974681432946	28.33209715819781	285.0682132430109	228.89273915656256	252.03804039944455	298.6428966504899
ENSMUSG00000139751.1	Gm34317	5.900756154706749	2.9648766386168743	437.87111613988264	9.247761916700438e-11	6.384903837152527e-7	0.35469137768932135	0.15811574740249276	0.20728180233955065	0.4372450104266312	0.24146673714373135	14.746841086331997	14.776067725447465	14.460732383433232	24.51172853580235
ENSMUSG00000063808.15	Gpatch1	2.300340940490451	4.058276554716028	397.23925953934844	1.6273473634205814e-10	6.384903837152527e-7	5.877742830280182	5.902987903026396	6.633017674865621	5.441271240864744	6.358624078118259	30.895473150452208	32.33287144350681	27.27043626639574	28.680389851414997
ENSMUSG00000026837.17	Col5a1	-3.0331381470685232	3.8910413879964385	390.3213622280356	1.8017365325298137e-10	6.384903837152527e-7	23.156279943431407	20.923983906263206	24.770175379576305	23.5140650051655	28.05038596486346	2.8596535946879538	3.5985995198506737	2.5050087593348906	2.7791075437417634
ENSMUSG00000107451.2	Gm44421	2.9151405019959133	3.4961532528459016	374.5007040234437	2.2894518823346856e-10	6.490596086418833e-7	2.5335098406380094	3.4258411937206765	3.0055861339234844	2.574887283623495	2.8171119333435324	20.746506471265548	17.77490065865636	24.19610733448474	24.011489177928834
ENSMUSG00000026173.17	Plcd4	-5.052382962804281	5.563787994802158	334.00891066248533	4.434008102481815e-10	1.0246213223748745e-6	95.31064020480193	61.87596248350883	59.59351817262081	101.00359740855181	96.46596148892067	2.523223760018783	3.5985995198506737	2.2203486730468347	1.6118823753702227
ENSMUSG00000001119.8	Col6a1	-3.3097569594345844	4.985033706806981	326.4452054385697	5.059858382098146e-10	1.0246213223748745e-6	47.12328303586698	42.79666229694137	59.43805682086615	49.84593118863596	63.264285131657616	4.261444572476167	6.870053628805832	5.180813570442615	4.8356471261106675
ENSMUSG00000038181.17	Chpf2	2.639727082270806	4.729495400392227	308.10501554008	7.058236069519418e-10	1.2146186766322215e-6	7.955220899603351	9.17071334934458	6.062992718431857	7.9675757455519465	8.612313624793085	49.791615531037316	45.90940599567072	60.291006275810204	42.520345419248976
ENSMUSG00000029816.11	Gpnmb	2.9212234936970143	3.186144354153916	303.39532959308633	7.711864613537914e-10	1.2146186766322215e-6	1.9761376756976476	2.319030961903227	3.1092270350932596	1.9918939363879866	2.13295617810296	18.335425989469822	14.721543490298211	19.015293764042124	17.84187043082212
ENSMUSG00000045795.11	Whamm	2.5015302503361125	4.551680289746838	293.82711353994563	9.270604974755372e-10	1.314108255171574e-6	6.789806372909866	7.220619131380502	7.617606235978487	8.113324082360824	8.29035797526811	50.18411700481801	33.205259205894855	39.62468401129736	49.52369642947822
