Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Con_1	CPM_Con_2	CPM_Con_3	CPM_Con_4	CPM_B0092_1	CPM_B0092_2	CPM_B0092_3	CPM_B0092_4
ENSMUSG00000070436.13	Serpinh1	-2.0348936972046143	5.21686781842914	149.11278933667316	3.0889603321756314e-7	0.002368520225612589	75.10833293284877	57.67078158026693	55.72050659550301	50.31770957197178	17.478590614046	11.946201797630048	13.625079823850983	15.214097514221118
ENSMUSG00000084929.3	Foxo6os	-3.61299512956351	2.53551149475227	142.3656188292392	3.823074049534867e-7	0.002368520225612589	11.16080627598271	11.49716810766412	7.983268307757838	11.867384333012213	0.7986702213799578	1.3982831620635678	0.5124476924899706	0.7539729741560908
ENSMUSG00000020846.7	Rflnb	-2.0908990170310675	3.577782660821194	124.00636501823575	7.194317504564518e-7	0.002368520225612589	21.607840057571178	19.14139784144616	19.024534306283932	17.224660689057725	5.559973464222014	4.863593607177627	4.64217321432091	3.015891896624363
ENSMUSG00000045193.14	Cirbp	1.4666561658533535	5.265215990443306	123.16312349765481	7.421581644735493e-7	0.002368520225612589	18.493196445669025	22.71692465240873	19.53871090915647	20.85268961372146	47.55159625754518	60.30856072900258	65.32200880151566	52.374194097628454
ENSMUSG00000052135.9	Foxo6	-3.0181953408395934	1.8253180391696682	110.63439136841963	1.2078836323862305e-6	0.002368520225612589	6.715950288164015	6.8428185520145695	4.438155940584019	6.883082913147083	0.7372340505045765	1.0031161814803857	0.4521597286676211	0.8616833990355324
ENSMUSG00000042726.15	Trafd1	1.338915855069582	6.038136834532284	102.90254095365793	1.674715542332355e-6	0.002368520225612589	34.97485222531791	34.4606808160013	38.13025439196879	41.23068385412243	76.4880327398498	101.98347845050588	92.51188048539528	105.4215783507534
ENSMUSG00000032177.19	Pde4a	-2.299677005479592	5.463460460896367	101.60710260273531	1.772865296791406e-6	0.002368520225612589	83.54382604841709	78.7232368551586	60.42928180075679	70.35663568857241	20.366090645188923	10.183149115028158	11.63557701771345	17.314450799370228
ENSMUSG00000038777.20	Sema6c	-1.9871061328227977	6.231472744887327	101.00688923795835	1.8206839284985125e-6	0.002368520225612589	113.10049615719689	122.09191119157526	133.38823555572333	111.07871735699432	43.22034621083079	24.500352796157298	23.5123058907163	29.755004872945726
ENSMUSG00000005674.10	Tomm40l	-1.3242850054253579	4.528488771774847	99.71496942427197	1.9289900415503997e-6	0.002368520225612589	36.59706243985028	27.463744729031447	30.444667275347687	37.12795955613821	14.31462781396386	12.766933218841272	11.816440909180498	13.652296353469216
ENSMUSG00000132088.1	Gm60423	5.821478941225044	0.35827525902980323	99.59525821773123	1.939413746376363e-6	0.002368520225612589	0.09733261287194224	0.03082350699105662	0.027061926466975722	0	1.6280585281976063	2.7965663241271357	2.8335342996504256	2.3157741349079934
