Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Con_1	CPM_Con_2	CPM_Con_3	CPM_Denervation_1	CPM_Denervation_2	CPM_Denervation_3
ENSMUSG00000031880.8	Rrad	6.850635954812348	7.61138448217458	1164.1061747951792	4.0278722861341873e-10	5.078988637122286e-6	2.8997653952294518	3.8766928511497105	3.2984684369088586	369.77676621507766	343.6089686637896	448.85429525534516
ENSMUSG00000026253.15	Chrng	7.182236057215278	6.097845142073447	1039.85620762441	6.375032806730621e-10	5.078988637122286e-6	1.2359655782945203	0.9153302565214595	0.6413688627322781	139.22713884210302	145.82766254911985	122.12584254058963
ENSMUSG00000021728.9	Emb	3.664561995829331	4.808248049298085	839.7224348427694	1.5194569012302656e-9	6.9862009020616625e-6	4.373416661657534	3.9843787636816472	3.8482131763936684	49.944110352863774	55.853213371877374	49.184928365662124
ENSMUSG00000061825.11	Ces2c	5.850522393547044	5.407138482854383	786.4438312116243	1.9825408140488768e-9	6.9862009020616625e-6	1.3785769911746573	1.5614457317130779	1.3743618487120244	72.51413481359532	73.03569283100765	103.7651422408229
ENSMUSG00000025789.10	St8sia2	4.452726124138267	3.746109371977901	758.4483752712318	2.296559702268301e-9	6.9862009020616625e-6	1.0933541654143835	1.076859125319364	1.2827377254645562	23.74837915145247	24.737895958889688	27.6456102463458
ENSMUSG00000020908.16	Myh3	5.833937953314996	5.940186550011833	723.1683453374553	2.7858535462063865e-9	6.9862009020616625e-6	2.4243940189623285	2.207561206904696	1.6950462800781636	94.85755260303438	135.2257071381671	130.99251330038587
ENSMUSG00000048416.16	Mlf1	-3.2976958693660805	7.477175001608935	677.1266984715395	3.6369362423496903e-9	6.9862009020616625e-6	329.33728947786295	296.40547424415496	344.46089134885705	32.85796733741038	32.33393297746501	33.459134942627294
ENSMUSG00000061086.13	Myl4	3.4956797556291628	4.704024878130488	669.4572964188881	3.808687977992292e-9	6.9862009020616625e-6	4.516028074537671	4.145907632479552	3.985649361264871	42.692696871504246	52.11612564081358	48.013858642670165
ENSMUSG00000060716.8	Plekhh1	6.558543187894254	5.28877024603336	663.6282735052451	3.94601532060719e-9	6.9862009020616625e-6	0.5229085138938355	0.7538013877235549	1.1453015405933538	86.60906976798792	79.65683739800112	64.91072178869695
ENSMUSG00000033044.13	Dhrs7c	-4.455964297509733	6.980837283639323	634.5504213390662	4.730976494200644e-9	7.538337945859306e-6	218.33807311948968	245.63156648534695	260.7622547622948	9.834729534093865	13.32353017161875	9.828620889396769
ENSMUSG00000024803.10	Ankrd1	7.320665297835923	8.897305231670265	606.1233988422612	5.695189580672598e-9	7.795997575647917e-6	5.8470679280856155	4.684337195139234	7.192493674926261	1107.2455172693421	676.3316382849151	1058.6888535034059
ENSMUSG00000040852.7	Plekhh2	3.392123584778652	5.022684217159232	596.5106045278434	6.075698575816363e-9	7.795997575647917e-6	5.656919377578766	5.8150392767245656	5.40582327160063	66.89428936554168	58.61540865135931	51.77801132371574
ENSMUSG00000027107.4	Chrna1	5.141367427071858	8.79582675891897	589.7933758645875	6.36048503096667e-9	7.795997575647917e-6	22.96043747370205	30.3135843777401	20.20311917606676	974.0007945493606	796.7714765740907	821.4217628415
ENSMUSG00000121644.1	Gm65298	-9.938986757817656	4.063462358409714	576.3836509661126	6.980446622695805e-9	7.944745463288211e-6	28.522282576027393	37.85159825497565	33.76348941669207	0	0	0.08364783735656824
ENSMUSG00000042734.7	Ttc9	3.8291202178484025	5.757269269958943	556.8463741559984	8.024647387531125e-9	8.524315431528064e-6	5.8946050657123275	6.730369533246026	8.61266758526202	95.71865795394582	104.63845646978628	102.00853765633497
ENSMUSG00000049985.16	Ankrd55	7.044561481348553	5.296820039416848	533.7911606061832	9.519775351673104e-9	9.480506278347452e-6	0.42783423864041087	0.37690069386177744	0.9162412324746829	95.40140861413634	64.87096854900958	72.9409141749275
ENSMUSG00000023067.15	Cdkn1a	3.991330990694466	7.355470467701752	524.9506445249738	1.0184055507570941e-8	9.545455321037375e-6	18.301797986284242	21.59102546265325	18.187388464622458	320.7844038816423	252.90335014786075	349.89890366252496
ENSMUSG00000032511.18	Scn5a	7.260782311705745	6.422928544827674	508.30658512637245	1.1598915334696734e-8	9.589971146403799e-6	0.8556684772808217	1.0230161690533959	1.4201739103357587	233.35955009700143	145.78704203030392	131.45257640584697
ENSMUSG00000039542.17	Ncam1	3.511450838507093	5.602211333590109	503.2431566799828	1.2077217627106574e-8	9.589971146403799e-6	7.653479157900684	9.153302565214595	6.6427489354414515	95.40140861413634	92.08671615566983	79.63274116345296
ENSMUSG00000084939.5	Gm830	8.247082111941001	5.4368788833839945	500.618066686377	1.2334850935740315e-8	9.589971146403799e-6	0.38029710101369857	0.37690069386177744	0.0916241232474683	111.85305294997079	78.23511923944424	68.04751568956826
ENSMUSG00000010492.12	Uckl1os	-2.942971890873435	5.429015067571599	497.6057249494812	1.2638972892837942e-8	9.589971146403799e-6	78.15105425831506	83.88732586237846	66.56492553928572	10.106657539644848	10.317611779241348	9.284909946579074
ENSMUSG00000029490.5	Slc49a3	4.8576383246780255	5.014531529339711	488.08713542424823	1.3663313008002025e-8	9.64464388786892e-6	2.091634055575342	1.830660513042919	2.473851327681644	74.3723095181937	47.44476597698384	64.82707395134038
ENSMUSG00000023800.16	Tiam2	5.253071319125009	5.857642770069685	485.8265650514884	1.392160219787782e-8	9.64464388786892e-6	2.66207970709589	3.661321026085838	2.5654754509291124	141.99174023187135	106.83196448584546	89.29406637813659
ENSMUSG00000046413.18	Irx3os	-5.235328839911719	3.058193967237662	459.6540492935535	1.7404690475182552e-8	1.122732316930945e-5	17.160906683243148	13.460739066492051	17.86670403325632	0.31724933980947956	0.5280667446068407	0.41823918678284117
ENSMUSG00000022952.18	Runx1	5.008938578758571	6.216722408182662	458.2839876701016	1.761535579469915e-8	1.122732316930945e-5	4.563565212164383	3.715163982351806	5.085138840234491	183.64204641543014	136.36308166501263	111.96263030176658
ENSMUSG00000023019.13	Gpd1	-3.1236118049794235	9.0794705785745915	453.340975368113	1.8402279649029918e-8	1.1277766304909334e-5	917.1339962321608	972.1884183383219	1022.387779256875	111.80773161571229	122.83644889931432	99.41545469828135
ENSMUSG00000026251.14	Chrnd	5.819240910628071	7.052781631515492	443.44544590105767	2.011352722153324e-8	1.1674968872515496e-5	4.183268111150684	6.084254058054407	3.619152868274998	328.7609587111378	245.26669261046953	207.7812279937155
ENSMUSG00000043557.17	Mdga1	-4.02521510036512	4.545815228810717	441.27061184331853	2.0515823298006397e-8	1.1674968872515496e-5	38.07724723899657	44.2050670943599	49.61446273850408	2.311388047183351	3.371503061720598	2.3839633646621947
ENSMUSG00000034648.10	Lrrn1	3.655722330356296	6.686963023455903	435.0954481979609	2.1713946036802444e-8	1.1908176467922484e-5	14.498826976147258	16.637473486184174	14.24755116498132	152.2796831085502	220.08197094460482	199.50009209541525
ENSMUSG00000087038.12	2900079G21Rik	4.553134981365122	4.162953985980089	428.88358253913395	2.3008305302763574e-8	1.1908176467922484e-5	0.9982798901609587	1.4537598191811414	1.8782945265731001	35.214676718852225	30.506009630749027	36.51228100614203
ENSMUSG00000000794.10	Kcnn3	4.9952957305047745	6.328679816191094	428.1489395704972	2.3167658497903664e-8	1.1908176467922484e-5	5.704456515205479	4.79202310767117	4.123085546136074	190.3949252199462	162.8882804518024	113.42646745550653
ENSMUSG00000024883.9	Rin1	3.319965921506572	3.6123223769168	410.3165523039924	2.7493913982931965e-8	1.3690250793876185e-5	1.901485505068493	2.207561206904696	2.473851327681644	23.83902181996946	21.975700679407755	20.11730488425466
ENSMUSG00000058966.14	Tlcd3b	-5.115016296740397	5.557597996730833	404.13063413396213	2.922626455200879e-8	1.4111857556718426e-5	102.39499444793834	107.57822661940448	64.64081895108889	2.8099227240268188	3.0059183923774007	2.091195933914206
ENSMUSG00000022533.15	Atp13a3	4.199090939823372	8.42343634291735	392.2970044811411	3.2935814310386057e-8	1.5046797918149674e-5	37.982172963743146	39.57457285548663	28.769974699705045	793.9391335403518	552.6827790092826	606.1122294856934
ENSMUSG00000079492.3	H2-T15	-3.204630326888492	2.910490537950665	391.9558210949063	3.305120667348052e-8	1.5046797918149674e-5	13.643158498866436	13.245367241428179	13.606182302249042	1.4502826962719064	1.4217181585568788	1.5056610724182282
ENSMUSG00000064179.15	Tnnt1	3.9743705681978767	5.572277394597871	387.71136446306883	3.4529673674468914e-8	1.5283217231360767e-5	4.516028074537671	6.89189840204393	5.6348835797193	87.01696177631439	75.14795980943502	105.3544511505977
ENSMUSG00000056569.12	Mpz	-10.43429377101834	6.1802909586138055	384.32847629029493	3.5767338928324665e-8	1.5348173454227635e-5	182.44753421132188	156.52147386516955	95.79302085522811	0	0.04062051881591082	0.2509435120697047
ENSMUSG00000041460.17	Cacna2d4	-3.846779591681078	4.330894849074998	382.12595188147117	3.660289891180181e-8	1.5348173454227635e-5	45.1602807453767	34.72870679154949	32.847248184217385	2.7646013897683215	2.96529787356149	2.091195933914206
ENSMUSG00000042045.7	Sln	8.100576277710132	8.153393242166768	370.98403192769285	4.1222438426941065e-8	1.684200856140715e-5	1.6637998169349313	2.4767759882345373	2.061542773068037	504.3358076285555	347.14295380077385	849.6529079493419
ENSMUSG00000087523.4	Gm12319	-3.2504319744753207	3.7136484882577254	364.70986882895454	4.4144212902700677e-8	1.7584847209790816e-5	24.243940189623284	23.63705780076004	23.18090318160948	2.1754240444078596	3.0465389111933114	2.216667689949058
ENSMUSG00000049382.11	Krt8	9.408255550276003	8.253591273774795	353.0893030418002	5.026959003664912e-8	1.8959395812148888e-5	0.33275996338698627	1.6691316442450144	0.7329929859797464	790.404069468189	479.8908092911704	557.2200685507793
