Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Con_1	CPM_Con_2	CPM_Con_3	CPM_Con_4	CPM_Denervation_1	CPM_Denervation_2	CPM_Denervation_3	CPM_Denervation_4
ENSMUSG00000033044.13	Dhrs7c	-6.496160322549502	6.279002373545257	3262.1113181580013	9.339038732422184e-18	1.529360982821457e-13	156.29202301576115	151.11101878435443	152.73833210973498	158.03346563122363	1.8801096772695636	2.0993966520210954	1.5278444023464692	1.3102882110309364
ENSMUSG00000026251.14	Chrnd	6.4049721692167845	6.8916441294680535	2790.724464204757	2.721291213095921e-17	2.2281932452829401e-13	2.528088078975288	2.858857112136435	2.821454092257982	2.7881698241218005	278.1778943326758	224.63544176625717	217.58071309313564	213.3072131781245
ENSMUSG00000026253.15	Chrng	9.460090380726031	6.065649355395319	2615.69168895745	4.240751304747683e-17	2.3148847788849353e-13	0.05617973508833973	0.3500641361799716	0.10851746508684545	0.22305358592974403	149.54705724614985	125.77635299162097	132.76576101415856	121.81826573731736
ENSMUSG00000048416.16	Mlf1	-4.769189458191856	7.179315576798669	2294.4743857378057	1.0398910282103577e-16	4.2573138694932045e-13	269.1009310731473	274.5086267877944	260.7132098711462	317.6840697604379	10.888968547519555	10.83438629346601	10.381506836456778	9.017865922977622
ENSMUSG00000046345.6	Smco1	-4.287372095927771	5.000436963164849	2135.7519243636752	1.6982187821819543e-16	5.562006155402336e-13	63.08984250420552	67.50403426003787	57.02592790313729	59.10920027138217	3.2510229836119535	3.4115195595342795	2.9381623122047484	3.005955307659207
ENSMUSG00000022952.18	Runx1	5.210008081958665	6.5547804989546075	1997.3104180603757	2.6856351964141275e-16	6.089718658410151e-13	4.606738277243858	5.075929974609589	5.425873254342273	4.516835115077317	205.8328407094074	160.11648394253746	197.60120937014335	163.90164004454627
ENSMUSG00000025161.17	Slc16a3	-4.960716206304743	7.085257925865333	1979.6582639148644	2.85369630482618e-16	6.089718658410151e-13	257.640265115126	254.20490688935607	269.61164200826755	274.63472767599734	7.16791814459021	10.496983260105475	7.952625991700852	8.247108151782953
ENSMUSG00000032511.18	Scn5a	7.070171162993995	5.54094897072322	1967.6464494595457	2.9749480500293846e-16	6.089718658410151e-13	0.5056176157950576	0.40840815887663356	0.7053635230644955	1.0595045331662842	103.44520120143578	88.92444390346496	84.50154809900856	87.86638591619221
ENSMUSG00000027107.4	Chrna1	5.476153964538059	8.331050677567303	1711.0834968679796	7.728985667938962e-16	1.3107958030829294e-12	16.62920158614856	12.07721269820902	12.696543415160917	15.056117050257722	738.60892050567	596.1161814962041	599.9335686547136	579.9181470468686
ENSMUSG00000039542.17	Ncam1	3.3697249145785	5.25772036016568	1702.3352939451445	8.004371049602648e-16	1.3107958030829294e-12	7.4719047667491845	6.476186519329476	5.9684605797765	6.691607577892321	69.05486168804667	69.01766493519351	67.46020668822102	69.6379646274383
ENSMUSG00000087523.4	Gm12319	-4.150440379017052	4.811756563193329	1571.5558486124419	1.3815354893096548e-15	1.9293420962293868e-12	53.53928753918777	50.52592365530924	53.7161452179885	57.882405548768574	3.6035435480999967	2.5117781372395247	2.8989868147086852	3.1215689733384075
ENSMUSG00000078486.4	Perm1	-4.194637830929568	6.578195262991661	1561.327206050175	1.444504110913216e-15	1.9293420962293868e-12	165.95493745095558	200.70343807651707	189.85130516943613	171.5839709764556	11.672347579715206	10.23455867860284	8.932013429102435	8.902252257298422
ENSMUSG00000010492.12	Uckl1os	-3.4791145814926	4.702443079529988	1547.9916725497028	1.5315979024781405e-15	1.9293420962293868e-12	48.03367350053047	53.443124790142335	46.22844012699616	46.11632889097458	3.9952330641978224	4.423728659615879	4.426831217055154	4.508932961488811
ENSMUSG00000050821.15	Fam131a	-2.737476443491528	5.181583431472152	1526.8241605648002	1.6824918057245797e-15	1.968034700753266e-12	64.325796676149	64.7035211705981	61.149591576437416	64.51824973017847	9.75306895083586	9.109881900734395	9.833049871511891	9.480320585694423
ENSMUSG00000061825.11	Ces2c	5.911145942966076	4.16091133620659	1494.588445141515	1.9462101088622394e-15	2.0164647232072734e-12	0.44943788070671786	0.5834402269666193	0.7053635230644955	0.5018705683419241	34.155325803730406	30.44125145430588	39.44972597853575	32.333288501616344
ENSMUSG00000086219.10	Srrm4os	5.66817004706235	5.759083195993038	1491.910981472796	1.970165826289471e-15	2.0164647232072734e-12	1.7415717877385317	1.6336326355065343	2.550160429540868	2.2862992557798765	111.59234313627054	84.20080143641749	116.31205206581197	107.98316374437306
ENSMUSG00000025271.14	Pfkfb1	-3.061089537082671	5.02219402862463	1470.7459138620109	2.1718894799992624e-15	2.0921683602628188e-12	57.86512714098993	63.06988853509156	55.07261353157407	58.60732970304024	7.5596076606880365	7.047974474642248	6.620659076834699	6.859744163632549
ENSMUSG00000055489.9	Ano5	-3.629774560472084	6.95508773186704	1441.5762713746224	2.4899129295635687e-15	2.255306095744858e-12	213.82007174622103	219.6652454529322	217.5232587665817	270.3967095433322	19.858658466159763	17.582446960676673	17.98155335069306	18.999179059948577
ENSMUSG00000060716.8	Plekhh1	6.559094529454086	5.727166741718234	1420.7559659767508	2.7496421433991356e-15	2.255306095744858e-12	0.5617973508833973	0.933504363146591	1.6820207088461046	1.1710313261311562	102.9360048305086	101.44584536373364	118.46670442809545	91.52748532936688
ENSMUSG00000049173.9	Myoz3	-2.755769291982875	6.467024505988138	1420.395536016262	2.754404122795381e-15	2.255306095744858e-12	145.95495175950663	161.32122275627026	155.6683036670798	155.85869316840865	24.598101610943456	22.081154072150447	23.191894517669482	21.735369147689653
ENSMUSG00000038201.11	Kcna7	-3.169586934371323	5.804226719378138	1385.3581122630655	3.2658521696950118e-15	2.4643037133900456e-12	95.95498753088427	116.92142148411052	96.36350899711877	95.74575176034263	10.96730645073912	11.284257004613387	11.439245268850486	11.291601348001894
ENSMUSG00000021260.9	Hhipl1	4.760666146200697	5.934118511928873	1381.4911799166498	3.328690872484331e-15	2.4643037133900456e-12	3.8764017210954416	4.375801702249645	5.588649451972541	3.3458037889461605	112.10153950719773	106.65684776785743	117.44814149319781	130.8746695488547
ENSMUSG00000023800.16	Tiam2	3.669081168435159	5.378483105539028	1373.6098763850196	3.461100721053435e-15	2.4643037133900456e-12	7.022466886042467	6.00943433775618	5.3716145217988505	5.520576251761165	84.29158386425209	70.14234171306195	74.27674325253604	75.72695101987618
ENSMUSG00000038663.8	Fsd2	-2.782558911199983	7.563480141199716	1356.3648157351458	3.772425487887298e-15	2.574051657901766e-12	325.7301040421938	319.6085563323141	332.17196063083395	346.17916536296275	51.15465080237604	48.13616609276939	44.89512013048856	48.17236069966678
ENSMUSG00000091712.3	Sec14l5	-3.741443123432891	4.441731726657159	1323.9048203141936	4.449649197816485e-15	2.91469821053771e-12	37.69660224427596	45.44999368069965	40.74830814011047	40.595752639213416	3.0160092739532582	2.7367134928132133	3.525794774645698	3.005955307659207
ENSMUSG00000042363.15	Lgalsl	-2.8681378301972655	6.381949243019861	1311.9369653649853	4.733728147367676e-15	2.9815204669728098e-12	144.99989626300484	150.11917039851116	136.24367741653447	157.92193883825877	19.427799998452155	21.481326457287278	18.647536808126137	21.11876293073392
ENSMUSG00000002500.16	Rpl3l	-3.428620559124269	7.738773123243442	1236.4958349693025	7.086501433116836e-15	4.2558212942966614e-12	408.3143146220532	424.2777330501256	392.56192995166344	341.38351326547325	37.40634878734236	39.43866567725343	36.47238816883495	32.14059905881768
ENSMUSG00000047343.5	Mettl21c	-3.9625930188985836	6.304752856551811	1231.6969926426805	7.276685163672845e-15	4.2558212942966614e-12	157.75269612805798	143.23457572030506	127.12821034923945	169.35343511715814	9.165534676689122	11.171789326826541	8.383556464157548	9.55739636281389
ENSMUSG00000046480.7	Scn4b	-3.068220457836484	8.000915110571151	1182.993255562001	9.577230081218579e-15	5.408162752070188e-12	434.2131724977778	506.42611700702565	462.2844012699616	430.7722378268182	56.559966124526035	58.22076786765644	54.258064032047685	49.55972468781719
ENSMUSG00000087231.10	E230016M11Rik	5.556188599051802	4.602255891488012	1144.6820472435943	1.1982680289703182e-14	6.343363749710471e-12	0.9550554965017755	0.8751603404499291	1.1936921159553	0.8922143437189761	56.4032903180869	41.0507023921982	49.16524935755945	39.15449477668916
ENSMUSG00000027333.19	Smox	-3.6978457402504503	7.511055269572727	1140.283756360334	1.2300748724934773e-14	6.343363749710471e-12	305.05596152968474	291.77845750600636	380.40797386193674	380.6409443891082	25.89067701406628	28.116919446711094	26.639338297323054	23.97056668415419
ENSMUSG00000038777.20	Sema6c	-3.2048285081423487	5.715082788103921	1138.9995405467712	1.2395434782042933e-14	6.343363749710471e-12	84.77522024830466	105.95274521713809	96.03795660185823	95.02082760607095	11.437333870056511	10.871875519394957	9.010364424094561	10.058388914090424
ENSMUSG00000067081.14	Asb18	-3.5686781704575607	4.006450689547026	1115.1579444019171	1.431433641134745e-14	6.975789069873614e-12	30.393236682791795	31.330740188107463	31.307288677554915	28.04898843066531	2.8985024191239104	2.7367134928132133	2.272178854771672	2.273735425024272
ENSMUSG00000021579.5	Lrrc14b	-2.547607558393699	6.36852641114984	1110.9108986284502	1.4690781591235468e-14	6.975789069873614e-12	139.94372010505427	143.934703992665	141.88658560105043	140.85833951463334	25.224804836699978	22.193621749937293	26.71768929231518	22.775892138802455
