Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Con_1	CPM_Con_2	CPM_Con_3	CPM_Con_4	CPM_Con_5	CPM_Con_6	CPM_Con_7	CPM_Con_8	CPM_Con_9	CPM_Con_10	CPM_Unloading_1	CPM_Unloading_2	CPM_Unloading_3	CPM_Unloading_4	CPM_Unloading_5
ENSMUSG00000046598.16	Bdh1	-2.899381373599137	7.1103204316054445	1123.213887008631	2.3608780557001753e-17	5.38445458163539e-13	176.07429117833266	208.63426426547346	170.26524839047758	183.43642116771056	196.80868498497372	197.7193606379323	163.97884593545626	199.62778795054464	234.22146043931184	210.9182280123996	29.669227587586995	26.662442531167294	24.40789434072522	25.33244218798714	23.874887564474072
ENSMUSG00000074218.4	Cox7a1	-1.4729819113111122	7.22062534216132	909.1200725248254	1.4641982234949476e-16	1.6696984441624636e-12	200.5920911377113	179.12559539000512	184.71382986772363	199.6159640842522	198.30808759852354	197.38673974764978	187.31073191441544	165.81602053072098	192.9267398915881	189.41284005819415	67.31767926122959	63.79070663516322	73.78577802027917	69.42965636707586	66.99660756553955
ENSMUSG00000021622.4	Ckmt2	-2.286495272418242	10.144047126223336	829.8990107830497	3.209173141005794e-16	2.439720394230638e-12	1506.8212684653697	1361.842158565533	1313.8902489558157	1626.0099290556495	1643.4420001030812	1642.1968525947946	1504.4770857265871	1595.054994886196	1771.642686349966	1428.9135551794288	291.994648174502	271.4813794008109	347.7854705573486	330.83108879963885	335.7543803490115
ENSMUSG00000039914.7	Coq10a	-1.2798319732141494	7.5134776897255335	677.7825435696229	1.8237529834018806e-15	1.0398583573111673e-11	219.12505607978247	209.79638172697838	211.95906160662076	245.49213640457282	222.20179376283346	221.90565108847485	214.8025665562898	238.77939331966274	246.94538301993393	240.97062912789184	100.67308360969861	93.92820836818234	89.78386642784042	89.78535467916215	93.62628984899139
ENSMUSG00000018770.10	Atp5mc3	-1.1347367814211082	7.830708112674649	639.825481051053	2.986085553104508e-15	1.3620730641930902e-11	279.72985380151334	260.5649641629193	254.86273993841095	282.42518584697376	277.58295481168943	274.26968267295007	282.78607541164854	274.6017070118928	294.4016050494846	299.53604995617144	125.89192705914755	120.3061431284378	139.35632145289173	126.00952321850609	121.57827359755258
ENSMUSG00000016252.8	Atp5f1e	-0.8556473008297388	6.9512149038997	608.9921842768265	4.553760332492827e-15	1.3886632182780287e-11	147.1957935855255	139.29458906234592	141.53095189386104	145.3428137945872	146.31267438671554	154.24105855100416	144.67125811953463	141.75432159321218	149.7540274538555	143.64496313001334	79.63490404759146	74.56135796254024	83.66567856386767	81.38200026575579	82.46018858806814
ENSMUSG00000139678.1	Gm73848	-1.486301504511095	7.135292030820849	604.3527996147028	4.860996046545906e-15	1.3886632182780287e-11	166.17372767386487	166.00050406006707	162.05212558618152	182.34413135056008	175.13989882786677	174.29334650803548	182.06557925247887	191.58560286091907	207.48645229727506	181.39427125902995	61.87832087017197	57.95829733147037	71.38606475914497	63.75943178715604	64.24181284656177
ENSMUSG00000020321.17	Mdh1	-1.2006801062773647	9.376104038633972	593.5278561239179	5.6717607217998875e-15	1.3886632182780287e-11	780.097658780121	784.0874872624445	746.3704431700096	804.9720831641971	832.458657477607	839.867747963339	805.6961440234186	828.6261083340293	877.570839478427	886.2011952795496	383.924300320889	341.00288542148417	381.3165990980615	335.6038677625929	338.6928280492545
ENSMUSG00000030869.12	Ndufab1	-0.9986685453946046	5.514891281420275	587.6598219538971	6.173509239739376e-15	1.3886632182780287e-11	52.194880857261616	57.194408399556394	52.81526562535995	54.75102708466835	53.39808017287073	51.65127253386984	58.48797386392187	56.619577284218806	55.93883708329871	54.7284552424331	26.58992139099653	26.499866662074812	30.028844321760257	26.80098956120379	27.143910630994366
ENSMUSG00000030884.13	Uqcrc2	-0.9289903168169423	8.517788973776195	586.2380175953646	6.302398489207618e-15	1.3886632182780287e-11	437.31567695240165	405.1004751104835	396.34715855859326	444.65297973167895	440.1472188162352	441.00778324456854	445.86058468125367	432.4187800072335	459.66489137026747	451.2914852526746	231.15025493238232	223.72471785489387	236.72847035512945	228.6446674133139	223.0649110446939
ENSMUSG00000009863.15	Sdhb	-0.9303161619998891	8.315904362893479	582.0721125067708	6.697634674029164e-15	1.3886632182780287e-11	376.22141316977576	357.5675922732426	361.16800365747247	380.2306365576573	386.4589316859032	383.93954192609783	378.71358724180726	389.33255720179324	390.47460589454647	381.85849123813523	199.54803221408892	190.5185965927541	219.4332396442524	192.95080764763154	190.7419863420213
ENSMUSG00000000399.11	Ndufa9	-0.8429490060386747	7.327101257499172	569.4077651872118	8.079201796004303e-15	1.5355196280122512e-11	188.48893035921586	174.8189247973692	178.61797101580984	191.76513102348304	195.88969628634644	189.68894200111168	191.94545732690247	183.37046755431228	193.47536673586038	194.92704209773402	102.26892842690972	101.38637636280002	109.781476937292	106.38809859302812	105.04950528368592
ENSMUSG00000060675.14	Plaat3	-1.1939433566820994	7.321379299461404	553.6026585077477	1.0268799766358994e-14	1.6833075567340567e-11	195.02997680935863	208.77098396682698	187.57562619896558	185.87131721844185	195.59948932888517	193.8229444946229	217.06340822091764	190.9802771014849	205.4396521474901	187.73560360450077	77.74686229201774	80.17022544623093	88.14081951030711	93.13037925148896	91.16533990003792
ENSMUSG00000027087.12	Itgav	-0.8200717558774595	6.271500079809916	553.1981008103794	1.033292664281878e-14	1.6833075567340567e-11	90.6847120094622	91.69334637442826	82.7594272376235	92.75361030636252	90.54457072791124	90.28281307668142	89.93628141889495	89.54497484201386	91.51517783110769	92.59264258060679	50.864743962658615	48.58986287501601	50.134550023154816	54.37704579160525	51.716679524276145
ENSMUSG00000025968.17	Ndufs1	-0.8383328134775726	8.43206591110291	546.0406973612287	1.1544532518193674e-14	1.7553076876162877e-11	410.6620250909356	378.7591459830384	381.99164362870465	402.8501381878154	414.0285926447223	410.2641095284565	422.5965239522333	388.77046899660434	417.06190680927915	421.03230156069964	220.78850196429323	221.082859982141	235.56104228214525	228.11435863965232	226.4441258999733
ENSMUSG00000061904.13	Slc25a3	-0.8115834092544343	9.0861873836337	540.0618997148788	1.2678618769250919e-14	1.7633852525048136e-11	630.3877895181802	632.3969786107126	612.2848150647455	628.0894008993895	656.7867125610612	643.0512154561735	620.1262601907665	607.638968586307	684.3275840997587	629.5150903389691	369.4268368405908	342.303492374224	368.3884141416809	361.1402748635268	366.1673140465262
ENSMUSG00000001334.11	Fndc5	-1.292808768429677	7.210172451716297	535.7513603149343	1.3573266309517064e-14	1.7633852525048136e-11	196.0534058457755	189.40235960841147	173.7087106427037	189.9446479948989	185.9259240801767	190.259149241596	177.0691191736514	166.35648995878722	194.9313379764291	180.19952748379632	78.66840648223825	63.60780878243417	74.1316826344967	79.58710903182434	80.51346698665718
