Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Sham_1	CPM_Sham_2	CPM_Sham_3	CPM_CLP_1	CPM_CLP_2	CPM_CLP_3
ENSMUSG00000024411.12	Aqp4	-6.225863945049455	4.640701860830548	572.1520201398838	3.827598467915468e-9	5.651066378030397e-5	60.63531963598511	44.97230899105751	41.665531578187824	0.8084000466546895	0.4700004697311614	0.6854418165299858
ENSMUSG00000084929.3	Foxo6os	-6.03704085069984	3.882468838021458	387.88602662453394	1.968439812552266e-8	8.539830433545252e-5	24.784874665410925	30.93385547249082	30.973825787749757	0.6181882709712331	0.2136365771505279	0.4896012975214184
ENSMUSG00000069372.4	Ctxn3	3.2091991804895503	7.274409966021187	354.9866534755262	2.8549866928954918e-8	8.539830433545252e-5	32.14523138422993	27.48581425740426	30.927938638434572	314.4200652047533	285.5466490193956	237.70142994664863
ENSMUSG00000056054.10	S100a8	6.112092573809182	3.538704794737399	338.39942949438483	3.4887137076305175e-8	8.539830433545252e-5	0.3004227232171021	0.34480412150865564	0.32121004520629376	15.59736560604342	29.823666170213695	22.61957994548953
ENSMUSG00000103114.3	Gm32200	-4.192776548139708	2.771681079684188	316.7028154762462	4.603264895610658e-8	8.539830433545252e-5	14.870924799246556	13.05329888568482	10.508157193177325	0.7608471027338254	0.6409097314515837	0.6854418165299858
ENSMUSG00000020190.14	Mknk2	3.2075705696584413	10.249601389440057	313.09389004736835	4.8291566908564895e-8	8.539830433545252e-5	246.7972671228494	232.2502047019016	234.3456715526489	2427.054704776982	2323.08413993484	1840.2643969937553
ENSMUSG00000022235.16	Cmbl	-2.82475676306543	5.03655923359216	297.10881997663614	6.010774591991832e-8	8.539830433545252e-5	65.2918718458502	51.52358729972197	55.3399020741129	7.5609180834173895	7.434552884838371	9.30242465290695
ENSMUSG00000087410.9	2310065F04Rik	-5.069990386544398	5.713752183799071	288.8374722426669	6.762294456584042e-8	8.539830433545252e-5	116.11338252340997	88.76243242265677	100.44696985093958	2.4252001399640686	2.136365771505279	4.553292066949191
ENSMUSG00000045246.13	Kcng4	-6.436478167611292	5.049845984985469	288.1746173469478	6.827407652719212e-8	8.539830433545252e-5	63.48933550654758	66.20239132966188	66.30693076044207	0.7608471027338254	0.25636389258063347	1.2729633735556878
ENSMUSG00000025777.9	Gdap1	-4.6536712423966575	3.984568389548643	285.5314056297675	7.094871959252935e-8	8.539830433545252e-5	25.5860019273232	34.184865761001	31.11148723569531	1.3790353737050585	0.7263643623117948	1.517764022316397
ENSMUSG00000025793.18	Hgs	3.865918195925473	6.9567676253108015	285.1028976303547	7.139441530893262e-8	8.539830433545252e-5	13.819445267986698	16.69837102734775	17.253568142509494	249.60540264061558	278.6675512351486	168.56972673662435
ENSMUSG00000027333.19	Smox	-4.12446071041736	7.67572354114703	282.5532033025456	7.41189984113272e-8	8.539830433545252e-5	304.4283595266635	367.9059976497355	487.4591871752084	22.825413082014762	17.731835903493813	25.948868768635176
ENSMUSG00000043557.17	Mdga1	-4.392877277112214	3.4019173803452594	272.4792142863738	8.622301339992663e-8	8.539830433545252e-5	16.97388386176627	22.363010166418523	20.74099149046354	0.9510588784172818	0.6409097314515837	1.2729633735556878
ENSMUSG00000031490.7	Eif4ebp1	3.7408262739553697	7.658332991144544	269.314236851543	9.052129832534251e-8	8.539830433545252e-5	34.54861316996674	25.02292767519958	24.73317348088462	420.17781248475507	415.224051349766	291.7044530632611
ENSMUSG00000042834.16	Nrep	-6.236341513663089	6.774249311516853	264.72710772986653	9.723088084893264e-8	8.539830433545252e-5	191.92004968185876	205.0106791027178	250.72738385816987	1.9021177568345635	1.9654565097848566	4.749132585957758
ENSMUSG00000028970.10	Abcb1b	2.4430105581792767	4.911414594913512	261.9253624991272	1.0163175464693825e-7	8.539830433545252e-5	9.563456689077752	10.491896840191949	7.89258968221179	52.64110892039655	50.71732341553532	48.617408843876845
ENSMUSG00000030089.16	Slc41a3	-2.2767793882668466	5.314878961651076	260.46948231038755	1.040156051819755e-7	8.539830433545252e-5	62.28764461367918	65.66055628157685	69.61080551113538	13.742800793129721	12.049102951289774	14.981799704155403
ENSMUSG00000079243.6	Xirp1	3.195309112945601	9.074374874778876	257.7352573783796	1.086819438305211e-7	8.539830433545252e-5	102.14372589381472	108.81032920180289	107.33004224821731	905.0276287018853	1204.867567813547	805.638935071494
