Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Sham_1	CPM_Sham_2	CPM_Sham_3	CPM_CS_1	CPM_CS_2	CPM_CS_3
ENSMUSG00000037447.17	Arid5a	3.9129476365537954	4.808886984506698	685.2517532501072	4.669317558761072e-9	3.7494765826732586e-5	3.266754096907348	3.480225080444903	3.6530129113723704	49.51486452935168	52.944098145391806	54.66287868158208
ENSMUSG00000091712.3	Sec14l5	-5.169094933245027	4.054535894364045	611.9333127828706	7.315509312207945e-9	3.7494765826732586e-5	33.874819657060975	34.665771389529624	27.523562797753893	0.7962916810275854	0.8477220954866228	0.9926672884064542
ENSMUSG00000038332.14	Sesn1	3.728990643479054	7.520905407702436	592.7585223242338	8.299586621426824e-9	3.7494765826732586e-5	25.494885234559522	25.38517117500988	26.326886154373287	371.1443135116755	301.9431972833262	351.0071531805222
ENSMUSG00000037977.7	6430571L13Rik	-5.373543079516162	4.246502530073646	480.9631880651913	1.8981490669838062e-8	5.5574091051082445e-5	36.005311459391855	33.09625811795643	41.12788674355444	0.7239015282068959	0.6935908053981459	1.1912007460877452
ENSMUSG00000022094.16	Slc39a14	4.226898467921847	6.380394415925358	444.9480253465489	2.5814137309669782e-8	5.5574091051082445e-5	7.527737701569106	10.713634071173525	7.054093897822508	154.1910255080688	160.8360012073256	158.89294396425979
ENSMUSG00000067081.14	Asb18	-3.9441297400145325	3.8720926618443996	437.7876155137348	2.752134452059172e-8	5.5574091051082445e-5	28.335540971000693	27.500602106260704	25.760039323298265	1.8097538205172397	1.4642472558405302	1.9853345768129085
ENSMUSG00000086841.4	2410006H16Rik	4.58875153776365	6.971413717231992	432.76944335631214	2.8802418355765696e-8	5.5574091051082445e-5	9.800262290722044	9.348839921979446	10.833072771655994	213.62334097385497	200.75600534024113	307.859215044455
ENSMUSG00000086290.12	Snhg12	3.6132205014849292	4.858411226573868	410.1969202800951	3.557868287844175e-8	5.5574091051082445e-5	3.6218360639624945	4.845019229638982	4.597757629830742	50.383546363199954	50.09266927875498	59.824748581295644
ENSMUSG00000031765.9	Mt1	7.339194701211757	9.574359407918116	406.407533989136	3.6904509662786246e-8	5.5574091051082445e-5	10.510426224832337	8.666442847382406	8.880600353508694	1745.2541943540052	1903.6755638827779	896.7756283463908
ENSMUSG00000030161.9	Gabarapl1	3.6468513354099477	8.548931921472402	380.092330365223	4.804098498684099e-8	6.510994695266559e-5	62.63645898852785	57.730792510909566	45.72564437338519	767.6975706634131	685.6530439585894	627.1010149959707
