# Dataset_Count: 27
# Stats Mode: PValue<0.1, FC_Val>=1
# Dataset_Hits: UP=533, DOWN=573
# Dataset_Hits: UP=746, DOWN=986
# Dataset_Hits: UP=439, DOWN=319
# Dataset_Hits: UP=152, DOWN=616
# Dataset_Hits: UP=950, DOWN=828
# Dataset_Hits: UP=296, DOWN=258
# Dataset_Hits: UP=420, DOWN=700
# Dataset_Hits: UP=183, DOWN=305
# Dataset_Hits: UP=360, DOWN=445
# Dataset_Hits: UP=336, DOWN=293
# Dataset_Hits: UP=541, DOWN=411
# Dataset_Hits: UP=301, DOWN=311
# Dataset_Hits: UP=567, DOWN=640
# Dataset_Hits: UP=845, DOWN=749
# Dataset_Hits: UP=461, DOWN=438
# Dataset_Hits: UP=203, DOWN=328
# Dataset_Hits: UP=288, DOWN=766
# Dataset_Hits: UP=414, DOWN=398
# Dataset_Hits: UP=359, DOWN=278
# Dataset_Hits: UP=536, DOWN=723
# Dataset_Hits: UP=386, DOWN=334
# Dataset_Hits: UP=84, DOWN=96
# Dataset_Hits: UP=444, DOWN=523
# Dataset_Hits: UP=542, DOWN=487
# Dataset_Hits: UP=254, DOWN=313
# Dataset_Hits: UP=446, DOWN=573
# Dataset_Hits: UP=401, DOWN=448
# --- Comparative Meta-Gene Profiler (CMGP) (100000 perms) ---
# Universe Size: 6286
# UP Required  : 5 (mFDR=0.2691) | E=198.68, eFPR=3.1607e-02
# DOWN Required: 6 (mFDR=0.1206) | E=92.08, eFPR=1.4649e-02
# -----------------------------------------------------
Geneid	GeneSymbol	Total_Sig	Sig_UP	Sig_DOWN
ENSMUSG00000046413.18	Irx3os	26	0	26
ENSMUSG00000097462.10	9530026P05Rik	26	26	0
ENSMUSG00000101102.4	Gm28609	26	0	26
ENSMUSG00000123782.1	Gm42146	26	26	0
ENSMUSG00000086841.4	2410006H16Rik	25	24	1
ENSMUSG00000089781.4	Gm15756	25	0	25
ENSMUSG00000097316.4	Gm10516	25	0	25
ENSMUSG00000097368.4	Gm10390	25	0	25
ENSMUSG00000098708.10	Gm27252	25	25	0
ENSMUSG00000106981.2	Gm45495	25	0	25
ENSMUSG00000108414.4	Snhg1	25	24	1
ENSMUSG00000121001.2	Gm57461	25	0	25
ENSMUSG00000121069.2	Gm56730	25	23	2
ENSMUSG00000121377.2	Gm5113	25	0	25
ENSMUSG00000127806.1	ENSMUSG00000127806	25	0	25
ENSMUSG00000138178.1	Gm75428	25	0	25
ENSMUSG00000143680.1	Gm69864	25	0	25
ENSMUSG00000074578.17	Zfas1	24	22	2
ENSMUSG00000084929.3	Foxo6os	24	0	24
ENSMUSG00000085614.4	1700123M08Rik	24	0	24
ENSMUSG00000097577.5	6230400D17Rik	24	23	1
ENSMUSG00000099843.4	Gm7160	24	24	0
ENSMUSG00000104960.4	Snhg8	24	23	1
ENSMUSG00000106847.2	Peg13	24	24	0
ENSMUSG00000107451.2	Gm44421	24	24	0
ENSMUSG00000110547.2	Gm29773	24	0	24
ENSMUSG00000115186.3	Gm49417	24	24	0
ENSMUSG00000117545.4	Gm30794	24	0	24
ENSMUSG00000118038.4	Gm9895	24	0	24
ENSMUSG00000120402.2	Gm56886	24	0	24
ENSMUSG00000135102.1	Gm61113	24	22	2
ENSMUSG00000138318.1	Gm58744	24	0	24
ENSMUSG00000053263.5	Gm12592	23	22	1
ENSMUSG00000053332.16	Gas5	23	22	1
ENSMUSG00000085438.4	Oip5os1	23	1	22
ENSMUSG00000085965.4	2310016D23Rik	23	0	23
ENSMUSG00000086290.12	Snhg12	23	22	1
ENSMUSG00000086765.10	Gm11827	23	23	0
ENSMUSG00000087120.4	Gm12279	23	23	0
ENSMUSG00000087361.9	0610043K17Rik	23	23	0
ENSMUSG00000087590.5	Epb41l4aos	23	23	0
ENSMUSG00000092203.10	1110038B12Rik	23	22	1
ENSMUSG00000097415.5	AU020206	23	1	22
ENSMUSG00000098234.10	Snhg6	23	23	0
ENSMUSG00000103114.3	Gm32200	23	0	23
ENSMUSG00000108980.3	Gm45155	23	23	0
ENSMUSG00000113019.4	Gm47467	23	1	22
ENSMUSG00000113585.4	Gm19605	23	0	23
ENSMUSG00000113737.3	BB123696	23	23	0
ENSMUSG00000116879.3	Gm49794	23	0	23
ENSMUSG00000117401.3	4833419F23Rik	23	23	0
ENSMUSG00000119954.2	Gm35546	23	0	23
ENSMUSG00000120507.2	2310047K21Rik	23	0	23
ENSMUSG00000120700.2	Gm57098	23	23	0
ENSMUSG00000121777.1	Gm70833	23	21	2
ENSMUSG00000121784.1	Gm68527	23	21	2
ENSMUSG00000123536.1	Gm35378	23	0	23
ENSMUSG00000133849.1	BC062258	23	2	21
ENSMUSG00000136158.1	Gm32796	23	0	23
ENSMUSG00000137264.1	Gm54159	23	0	23
ENSMUSG00000139771.1	Gm61337	23	22	1
ENSMUSG00000140465.1	Mir1a-1hg	23	0	23
ENSMUSG00000140700.1	Gm75569	23	22	1
ENSMUSG00000059027.17	9630013D21Rik	22	0	22
ENSMUSG00000085088.3	4931413K12Rik	22	22	0
ENSMUSG00000086938.12	4930481A15Rik	22	22	0
ENSMUSG00000097287.6	D130017N08Rik	22	1	21
ENSMUSG00000097451.13	Rian	22	0	22
ENSMUSG00000097666.5	A330094K24Rik	22	0	22
ENSMUSG00000101968.8	Teshl	22	0	22
ENSMUSG00000118221.3	Gm50194	22	0	22
ENSMUSG00000120224.2	2810001A02Rik	22	21	1
ENSMUSG00000120512.2	5730409N16Rik	22	0	22
ENSMUSG00000120796.2	Gm57049	22	0	22
ENSMUSG00000121137.2	Gm56555	22	21	1
ENSMUSG00000124311.1	Gm5785	22	21	1
ENSMUSG00000124684.1	Gm71882	22	0	22
ENSMUSG00000126793.1	Gm59924	22	0	22
ENSMUSG00000127364.1	Gm66826	22	22	0
ENSMUSG00000131151.1	Gm67117	22	0	22
ENSMUSG00000133905.1	Gm40863	22	1	21
ENSMUSG00000139678.1	Gm73848	22	0	22
ENSMUSG00000143907.1	Gm74406	22	22	0
ENSMUSG00000043644.7	0610009L18Rik	21	0	21
ENSMUSG00000072660.8	Gm6288	21	0	21
ENSMUSG00000085014.3	Gm13490	21	0	21
ENSMUSG00000085156.11	Snhg15	21	20	1
ENSMUSG00000086782.5	E130102H24Rik	21	20	1
ENSMUSG00000086914.4	Gm16124	21	20	1
ENSMUSG00000087410.9	2310065F04Rik	21	0	21
ENSMUSG00000087523.4	Gm12319	21	0	21
ENSMUSG00000097184.5	4632428C04Rik	21	0	21
ENSMUSG00000097413.4	A830052D11Rik	21	1	20
ENSMUSG00000100110.3	Gm28783	21	0	21
ENSMUSG00000100599.5	1700120C14Rik	21	1	20
ENSMUSG00000101655.4	2310040G24Rik	21	1	20
ENSMUSG00000105961.3	Gm40123	21	0	21
ENSMUSG00000110618.3	Gm39822	21	21	0
ENSMUSG00000113780.3	Gm33195	21	0	21
ENSMUSG00000113831.2	Gm49602	21	20	1
ENSMUSG00000119955.2	Gm9054	21	0	21
ENSMUSG00000121122.2	Gm56904	21	20	1
ENSMUSG00000121345.2	2610005L07Rik	21	20	1
ENSMUSG00000123692.1	Gm74420	21	0	21
ENSMUSG00000125576.1	ENSMUSG00000125576	21	0	21
ENSMUSG00000126719.1	Gm33770	21	0	21
ENSMUSG00000129657.1	Gm66748	21	21	0
ENSMUSG00000132705.1	Gm60833	21	21	0
ENSMUSG00000132718.1	Gm69161	21	20	1
ENSMUSG00000135265.1	Gm67192	21	21	0
ENSMUSG00000138224.1	Gm58740	21	0	21
ENSMUSG00000141045.1	Gm40329	21	1	20
ENSMUSG00000144212.1	ENSMUSG00000144212	21	20	1
ENSMUSG00000071456.9	1110002L01Rik	20	0	20
ENSMUSG00000074807.4	Gm10762	20	0	20
ENSMUSG00000079499.11	6530402F18Rik	20	0	20
ENSMUSG00000086233.4	Gm11816	20	0	20
ENSMUSG00000086584.11	Gm12002	20	0	20
ENSMUSG00000086610.4	Gm15408	20	0	20
ENSMUSG00000087080.3	Gm12199	20	0	20
ENSMUSG00000087413.4	Gm11266	20	0	20
ENSMUSG00000097061.4	9330151L19Rik	20	19	1
ENSMUSG00000097195.13	Snhg5	20	18	2
ENSMUSG00000097885.9	5031434O11Rik	20	18	2
ENSMUSG00000099411.4	2310015D24Rik	20	0	20
ENSMUSG00000100417.5	Gm28578	20	0	20
ENSMUSG00000100627.9	A830008E24Rik	20	20	0
ENSMUSG00000101970.11	Chaserr	20	20	0
ENSMUSG00000102869.5	Norad	20	20	0
ENSMUSG00000104011.4	Gm32391	20	0	20
ENSMUSG00000104111.3	Gm37294	20	20	0
ENSMUSG00000105852.5	Gm42890	20	20	0
ENSMUSG00000107585.3	3300002P13Rik	20	0	20
ENSMUSG00000108726.3	Gm30684	20	0	20
ENSMUSG00000110051.2	Gm45322	20	20	0
ENSMUSG00000111080.2	Gm20300	20	1	19
ENSMUSG00000112266.3	Gm48843	20	20	0
ENSMUSG00000115801.3	Gm55330	20	18	2
ENSMUSG00000116924.2	4933401D09Rik	20	0	20
ENSMUSG00000118012.2	Gm46620	20	1	19
ENSMUSG00000118107.3	Gm34455	20	0	20
ENSMUSG00000120933.2	Gm57185	20	0	20
ENSMUSG00000121096.2	Gm57390	20	2	18
ENSMUSG00000121785.1	Ubb-ps	20	19	1
ENSMUSG00000123493.1	Gm71768	20	0	20
ENSMUSG00000123686.1	Gm63740	20	0	20
ENSMUSG00000128526.1	Gm71568	20	0	20
ENSMUSG00000129800.1	Gm40442	20	0	20
ENSMUSG00000132265.1	Gm66595	20	20	0
ENSMUSG00000134382.1	Gm30782	20	20	0
ENSMUSG00000135122.1	Gm59199	20	19	1
ENSMUSG00000140105.1	Gm74219	20	19	1
ENSMUSG00000021268.20	Meg3	19	0	19
ENSMUSG00000037735.9	2810032G03Rik	19	0	19
ENSMUSG00000038152.7	5033430I15Rik	19	0	19
ENSMUSG00000042549.13	Map2k3os	19	14	5
ENSMUSG00000085208.6	Brip1os	19	1	18
ENSMUSG00000085289.3	Gm15337	19	1	18
ENSMUSG00000085348.3	Myhas	19	0	19
ENSMUSG00000085653.10	Gm15179	19	1	18
ENSMUSG00000086863.4	Gm15543	19	0	19
ENSMUSG00000099681.3	1700052K11Rik	19	0	19
ENSMUSG00000103041.3	Gm37305	19	19	0
