# Dataset_Count: 7
# Stats Mode: PValue<0.1, FC_Val>=1
# Dataset_Hits: UP=486, DOWN=431
# Dataset_Hits: UP=480, DOWN=1327
# Dataset_Hits: UP=614, DOWN=639
# Dataset_Hits: UP=875, DOWN=976
# Dataset_Hits: UP=602, DOWN=730
# Dataset_Hits: UP=129, DOWN=223
# Dataset_Hits: UP=665, DOWN=674
# --- Comparative Meta-Gene Profiler (CMGP) (100000 perms) ---
# Universe Size: 7608
# UP Required  : 3 (mFDR=0.1449) | E=75.93, eFPR=9.9798e-03
# DOWN Required: 3 (mFDR=0.2726) | E=152.21, eFPR=2.0006e-02
# -----------------------------------------------------
Geneid	GeneSymbol	Total_Sig	Sig_UP	Sig_DOWN
ENSMUSG00000010492.12	Uckl1os	7	0	7
ENSMUSG00000043126.7	D830039M14Rik	7	0	7
ENSMUSG00000043488.8	Frmd8os	7	1	6
ENSMUSG00000054885.14	4930578G10Rik	7	3	4
ENSMUSG00000056716.12	Gm5420	7	7	0
ENSMUSG00000073752.4	Gm10570	7	0	7
ENSMUSG00000074807.4	Gm10762	7	1	6
ENSMUSG00000084939.5	Gm830	7	7	0
ENSMUSG00000085088.3	4931413K12Rik	7	7	0
ENSMUSG00000085411.3	Gm14319	7	1	6
ENSMUSG00000085433.5	Gm16001	7	7	0
ENSMUSG00000085614.4	1700123M08Rik	7	0	7
ENSMUSG00000085881.5	Gm15912	7	0	7
ENSMUSG00000085888.10	Gm12224	7	0	7
ENSMUSG00000085965.4	2310016D23Rik	7	0	7
ENSMUSG00000086584.11	Gm12002	7	0	7
ENSMUSG00000086610.4	Gm15408	7	0	7
ENSMUSG00000087090.10	Nctc1	7	0	7
ENSMUSG00000087120.4	Gm12279	7	7	0
ENSMUSG00000087128.10	Gm12655	7	0	7
ENSMUSG00000087410.9	2310065F04Rik	7	0	7
ENSMUSG00000087523.4	Gm12319	7	0	7
ENSMUSG00000087579.10	Hectd2os	7	6	1
ENSMUSG00000089781.4	Gm15756	7	0	7
ENSMUSG00000090778.4	Gm3235	7	0	7
ENSMUSG00000093677.2	Gm20712	7	0	7
ENSMUSG00000096768.11	Erdr1y	7	7	0
ENSMUSG00000097039.11	Pvt1	7	7	0
ENSMUSG00000097184.5	4632428C04Rik	7	0	7
ENSMUSG00000097431.5	Gm26782	7	7	0
ENSMUSG00000097960.3	A330074K22Rik	7	7	0
ENSMUSG00000097974.4	Gm10605	7	0	7
ENSMUSG00000099364.4	5730419F03Rik	7	7	0
ENSMUSG00000099411.4	2310015D24Rik	7	0	7
ENSMUSG00000099552.3	9830004L10Rik	7	0	7
ENSMUSG00000099906.3	Lincmd1	7	7	0
ENSMUSG00000100599.5	1700120C14Rik	7	0	7
ENSMUSG00000101493.4	2810405F17Rik	7	7	0
ENSMUSG00000102869.5	Norad	7	6	1
ENSMUSG00000103114.3	Gm32200	7	0	7
ENSMUSG00000106874.4	Gm20186	7	7	0
ENSMUSG00000106981.2	Gm45495	7	0	7
ENSMUSG00000107451.2	Gm44421	7	2	5
ENSMUSG00000108726.3	Gm30684	7	0	7
ENSMUSG00000108980.3	Gm45155	7	7	0
ENSMUSG00000109841.5	E330011O21Rik	7	0	7
ENSMUSG00000110051.2	Gm45322	7	7	0
ENSMUSG00000110453.3	Gm32352	7	0	7
ENSMUSG00000110580.3	D830024N08Rik	7	0	7
ENSMUSG00000112041.3	9530020I12Rik	7	0	7
ENSMUSG00000112593.3	Gm48882	7	0	7
ENSMUSG00000113302.3	Gm32219	7	0	7
ENSMUSG00000113585.4	Gm19605	7	0	7
ENSMUSG00000116066.4	Cmarr	7	0	7
ENSMUSG00000116879.3	Gm49794	7	0	7
ENSMUSG00000117399.3	Gm19689	7	0	7
ENSMUSG00000117545.4	Gm30794	7	0	7
ENSMUSG00000117869.2	Snhg4	7	7	0
ENSMUSG00000118038.4	Gm9895	7	0	7
ENSMUSG00000118107.3	Gm34455	7	0	7
ENSMUSG00000118221.3	Gm50194	7	0	7
ENSMUSG00000119954.2	Gm35546	7	0	7
ENSMUSG00000119959.2	Lppos	7	0	7
ENSMUSG00000120179.2	2310047D07Rik	7	0	7
ENSMUSG00000120402.2	Gm56886	7	0	7
ENSMUSG00000120528.2	Gm56744	7	0	7
ENSMUSG00000120563.2	Gm57200	7	0	7
ENSMUSG00000120796.2	Gm57049	7	0	7
ENSMUSG00000121001.2	Gm57461	7	0	7
ENSMUSG00000121015.1	Gm56721	7	0	7
ENSMUSG00000121059.1	Gm57137	7	7	0
ENSMUSG00000121096.2	Gm57390	7	0	7
ENSMUSG00000121122.2	Gm56904	7	7	0
ENSMUSG00000121137.2	Gm56555	7	7	0
ENSMUSG00000121395.2	Gm64463	7	7	0
ENSMUSG00000121496.3	Ube2d-ps	7	0	7
ENSMUSG00000123110.1	Gm53974	7	0	7
ENSMUSG00000123493.1	Gm71768	7	0	7
ENSMUSG00000123692.1	Gm74420	7	0	7
ENSMUSG00000124684.1	Gm71882	7	0	7
ENSMUSG00000126148.1	Gm74723	7	0	7
ENSMUSG00000126719.1	Gm33770	7	0	7
ENSMUSG00000127047.1	Gm39671	7	0	7
ENSMUSG00000127754.1	Gm54250	7	0	7
ENSMUSG00000127806.1	ENSMUSG00000127806	7	0	7
ENSMUSG00000128526.1	Gm71568	7	0	7
ENSMUSG00000129121.1	Gm53794	7	0	7
