# Dataset_Count: 11
# Stats Mode: PValue<0.1, FC_Val>=1
# Dataset_Hits: UP=1965, DOWN=532
# Dataset_Hits: UP=181, DOWN=349
# Dataset_Hits: UP=270, DOWN=213
# Dataset_Hits: UP=381, DOWN=280
# Dataset_Hits: UP=483, DOWN=785
# Dataset_Hits: UP=52, DOWN=95
# Dataset_Hits: UP=233, DOWN=278
# Dataset_Hits: UP=492, DOWN=319
# Dataset_Hits: UP=606, DOWN=207
# Dataset_Hits: UP=321, DOWN=228
# Dataset_Hits: UP=1888, DOWN=518
# --- Comparative Meta-Gene Profiler (CMGP) (100000 perms) ---
# Universe Size: 6658
# UP Required  : 4 (mFDR=0.1409) | E=63.26, eFPR=9.5012e-03
# DOWN Required: 3 (mFDR=0.2369) | E=105.61, eFPR=1.5862e-02
# -----------------------------------------------------
Geneid	GeneSymbol	Total_Sig	Sig_UP	Sig_DOWN
ENSMUSG00000112041.3	9530020I12Rik	11	1	10
ENSMUSG00000120414.2	Gm32261	11	0	11
ENSMUSG00000128526.1	Gm71568	11	0	11
ENSMUSG00000129121.1	Gm53794	11	1	10
ENSMUSG00000085888.10	Gm12224	10	0	10
ENSMUSG00000097705.4	Gm26740	10	7	3
ENSMUSG00000099843.4	Gm7160	10	10	0
ENSMUSG00000117545.4	Gm30794	10	0	10
ENSMUSG00000118221.3	Gm50194	10	0	10
ENSMUSG00000119954.2	Gm35546	10	0	10
ENSMUSG00000120047.2	Cirpil	10	0	10
ENSMUSG00000137576.1	Gm59260	10	8	2
ENSMUSG00000143680.1	Gm69864	10	0	10
ENSMUSG00000000031.20	H19	9	1	8
ENSMUSG00000006462.9	A530013C23Rik	9	9	0
ENSMUSG00000070392.6	Gm20634	9	1	8
ENSMUSG00000084929.3	Foxo6os	9	0	9
ENSMUSG00000085148.2	Mir22hg	9	9	0
ENSMUSG00000085653.10	Gm15179	9	0	9
ENSMUSG00000085965.4	2310016D23Rik	9	0	9
ENSMUSG00000086841.4	2410006H16Rik	9	8	1
ENSMUSG00000086863.4	Gm15543	9	0	9
ENSMUSG00000086914.4	Gm16124	9	9	0
ENSMUSG00000087221.5	Oxct1as	9	0	9
ENSMUSG00000087366.10	Junos	9	7	2
ENSMUSG00000087523.4	Gm12319	9	2	7
ENSMUSG00000089797.3	Gm16118	9	0	9
ENSMUSG00000100599.5	1700120C14Rik	9	0	9
ENSMUSG00000101086.4	Gm28651	9	0	9
ENSMUSG00000101304.4	Plet1os	9	3	6
ENSMUSG00000103114.3	Gm32200	9	1	8
ENSMUSG00000104960.4	Snhg8	9	9	0
ENSMUSG00000107451.2	Gm44421	9	9	0
ENSMUSG00000110547.2	Gm29773	9	0	9
ENSMUSG00000112569.4	Gm33111	9	0	9
ENSMUSG00000116656.3	Gm49708	9	1	8
ENSMUSG00000118245.4	Gm30082	9	1	8
ENSMUSG00000120173.2	Gm56774	9	9	0
ENSMUSG00000121137.2	Gm56555	9	9	0
ENSMUSG00000121492.2	6820431F20Rik	9	9	0
ENSMUSG00000127364.1	Gm66826	9	9	0
ENSMUSG00000129800.1	Gm40442	9	1	8
ENSMUSG00000140465.1	Mir1a-1hg	9	2	7
ENSMUSG00000021268.20	Meg3	8	0	8
ENSMUSG00000053332.16	Gas5	8	8	0
ENSMUSG00000060380.5	C030014I23Rik	8	0	8
ENSMUSG00000066175.5	2510046G10Rik	8	8	0
ENSMUSG00000073147.6	5031425E22Rik	8	7	1
ENSMUSG00000074024.8	4632427E13Rik	8	8	0
ENSMUSG00000084843.3	B230312C02Rik	8	5	3
ENSMUSG00000085022.5	Gm5860	8	0	8
ENSMUSG00000085088.3	4931413K12Rik	8	7	1
ENSMUSG00000085241.8	Snhg3	8	8	0
ENSMUSG00000086298.4	Gm11716	8	0	8
ENSMUSG00000086584.11	Gm12002	8	0	8
ENSMUSG00000086655.4	C330018A13Rik	8	6	2
ENSMUSG00000086825.2	Gm15675	8	7	1
ENSMUSG00000087249.4	Gm16062	8	0	8
ENSMUSG00000087331.11	1810021B22Rik	8	0	8
ENSMUSG00000087410.9	2310065F04Rik	8	2	6
ENSMUSG00000090622.2	A930033H14Rik	8	4	4
ENSMUSG00000092569.5	Gm20544	8	6	2
ENSMUSG00000097047.4	1110020A21Rik	8	0	8
ENSMUSG00000097061.4	9330151L19Rik	8	7	1
ENSMUSG00000097125.5	Gm26885	8	6	2
ENSMUSG00000097368.4	Gm10390	8	2	6
ENSMUSG00000097462.10	9530026P05Rik	8	8	0
ENSMUSG00000097960.3	A330074K22Rik	8	2	6
ENSMUSG00000098702.3	1500015A07Rik	8	8	0
ENSMUSG00000098708.10	Gm27252	8	8	0
ENSMUSG00000099364.4	5730419F03Rik	8	8	0
ENSMUSG00000099966.4	2810402E24Rik	8	8	0
ENSMUSG00000100455.2	Gm29170	8	8	0
ENSMUSG00000101968.8	Teshl	8	0	8
ENSMUSG00000102014.3	2900009J06Rik	8	0	8
ENSMUSG00000105987.7	AI506816	8	0	8
ENSMUSG00000106847.2	Peg13	8	7	1
ENSMUSG00000107096.5	Gm43597	8	7	1
ENSMUSG00000108414.4	Snhg1	8	7	1
ENSMUSG00000110353.3	Gm33543	8	0	8
ENSMUSG00000110453.3	Gm32352	8	0	8
ENSMUSG00000110580.3	D830024N08Rik	8	2	6
ENSMUSG00000113399.4	Gm48199	8	6	2
ENSMUSG00000113930.3	Gm36235	8	8	0
ENSMUSG00000114088.2	Gm47898	8	2	6
