# Dataset_Count: 7
# Stats Mode: PValue<0.1, FC_Val>=1
# Dataset_Hits: UP=635, DOWN=230
# Dataset_Hits: UP=172, DOWN=540
# Dataset_Hits: UP=359, DOWN=553
# Dataset_Hits: UP=401, DOWN=186
# Dataset_Hits: UP=341, DOWN=495
# Dataset_Hits: UP=368, DOWN=269
# Dataset_Hits: UP=132, DOWN=128
# --- Comparative Meta-Gene Profiler (CMGP) (100000 perms) ---
# Universe Size: 4169
# UP Required  : 3 (mFDR=0.2348) | E=58.89, eFPR=1.4125e-02
# DOWN Required: 3 (mFDR=0.2080) | E=57.44, eFPR=1.3777e-02
# -----------------------------------------------------
Geneid	GeneSymbol	Total_Sig	Sig_UP	Sig_DOWN
ENSMUSG00000053332.16	Gas5	7	6	1
ENSMUSG00000074578.17	Zfas1	7	6	1
ENSMUSG00000085241.8	Snhg3	7	5	2
ENSMUSG00000086841.4	2410006H16Rik	7	6	1
ENSMUSG00000090952.5	Rab11bos1	7	6	1
ENSMUSG00000108980.3	Gm45155	7	6	1
ENSMUSG00000115801.3	Gm55330	7	6	1
ENSMUSG00000120700.2	Gm57098	7	7	0
ENSMUSG00000121069.2	Gm56730	7	6	1
ENSMUSG00000121137.2	Gm56555	7	6	1
ENSMUSG00000121785.1	Ubb-ps	7	7	0
ENSMUSG00000123342.1	ENSMUSG00000123342	7	6	1
ENSMUSG00000127251.1	Gm68734	7	6	1
ENSMUSG00000130119.1	Gm74436	7	6	1
ENSMUSG00000132705.1	Gm60833	7	6	1
ENSMUSG00000139771.1	Gm61337	7	6	1
ENSMUSG00000020812.21	Snhg16	6	5	1
ENSMUSG00000071036.4	Gm10309	6	6	0
ENSMUSG00000085945.5	2310014F06Rik	6	2	4
ENSMUSG00000086290.12	Snhg12	6	6	0
ENSMUSG00000086584.11	Gm12002	6	0	6
ENSMUSG00000087590.5	Epb41l4aos	6	6	0
ENSMUSG00000092203.10	1110038B12Rik	6	6	0
ENSMUSG00000096768.11	Erdr1y	6	6	0
ENSMUSG00000097006.10	9530082P21Rik	6	5	1
ENSMUSG00000098234.10	Snhg6	6	6	0
ENSMUSG00000104960.4	Snhg8	6	6	0
ENSMUSG00000106874.4	Gm20186	6	6	0
ENSMUSG00000108414.4	Snhg1	6	6	0
ENSMUSG00000116066.4	Cmarr	6	0	6
ENSMUSG00000116858.3	Gm49797	6	5	1
ENSMUSG00000117401.3	4833419F23Rik	6	5	1
ENSMUSG00000120920.1	Gm56812	6	6	0
ENSMUSG00000121093.2	Gm56906	6	6	0
ENSMUSG00000123750.1	Gm67682	6	6	0
ENSMUSG00000124311.1	Gm5785	6	6	0
ENSMUSG00000126176.1	Gm46653	6	4	2
ENSMUSG00000128770.1	Gm58516	6	6	0
ENSMUSG00000129048.1	Gm57952	6	6	0
ENSMUSG00000133849.1	BC062258	6	0	6
ENSMUSG00000135102.1	Gm61113	6	6	0
ENSMUSG00000135122.1	Gm59199	6	6	0
ENSMUSG00000139764.1	Gm54022	6	6	0
ENSMUSG00000140105.1	Gm74219	6	6	0
ENSMUSG00000140143.1	Gm73647	6	6	0
ENSMUSG00000140700.1	Gm75569	6	6	0
ENSMUSG00000143161.1	Urml	6	6	0
ENSMUSG00000143907.1	Gm74406	6	6	0
ENSMUSG00000010492.12	Uckl1os	5	2	3
ENSMUSG00000042549.13	Map2k3os	5	5	0
ENSMUSG00000054885.14	4930578G10Rik	5	2	3
ENSMUSG00000066170.10	E230001N04Rik	5	5	0
ENSMUSG00000071456.9	1110002L01Rik	5	1	4
ENSMUSG00000074178.4	Gm10638	5	5	0
ENSMUSG00000075010.8	AW112010	5	3	2
ENSMUSG00000075585.5	6330403L08Rik	5	1	4
ENSMUSG00000084910.4	C630043F03Rik	5	0	5
ENSMUSG00000085022.5	Gm5860	5	0	5
ENSMUSG00000085095.4	Gm15635	5	3	2
ENSMUSG00000085148.2	Mir22hg	5	5	0
ENSMUSG00000085151.9	1110018N20Rik	5	0	5
ENSMUSG00000085213.4	Gm13091	5	5	0
ENSMUSG00000085218.10	BB218582	5	0	5
ENSMUSG00000085334.8	Gm12940	5	4	1
ENSMUSG00000085385.10	Snhg17	5	4	1
ENSMUSG00000085479.3	9430073C21Rik	5	2	3
ENSMUSG00000085790.3	Gm12729	5	5	0
ENSMUSG00000085965.4	2310016D23Rik	5	0	5
ENSMUSG00000086298.4	Gm11716	5	1	4
ENSMUSG00000086741.3	Gm15816	5	1	4
ENSMUSG00000086765.10	Gm11827	5	4	1
ENSMUSG00000086782.5	E130102H24Rik	5	4	1
ENSMUSG00000086801.3	Gm15943	5	4	1
ENSMUSG00000086938.12	4930481A15Rik	5	4	1
ENSMUSG00000087231.10	E230016M11Rik	5	5	0
ENSMUSG00000087361.9	0610043K17Rik	5	5	0
ENSMUSG00000087579.10	Hectd2os	5	4	1
ENSMUSG00000089781.4	Gm15756	5	1	4
ENSMUSG00000090185.3	Gm15523	5	0	5
ENSMUSG00000090778.4	Gm3235	5	0	5
ENSMUSG00000091154.5	Proscos	5	5	0
ENSMUSG00000092171.3	4833427F10Rik	5	5	0
ENSMUSG00000092341.7	Malat1	5	5	0
ENSMUSG00000092500.3	Gm20400	5	5	0
ENSMUSG00000095438.4	Mir133a-1hg	5	0	5
ENSMUSG00000096957.4	E230013L22Rik	5	5	0
ENSMUSG00000097000.5	Gm17435	5	4	1
ENSMUSG00000097195.13	Snhg5	5	5	0
ENSMUSG00000097462.10	9530026P05Rik	5	5	0
ENSMUSG00000097494.10	4933406C10Rik	5	3	2
ENSMUSG00000097534.6	Gm16675	5	4	1
ENSMUSG00000097577.5	6230400D17Rik	5	5	0
ENSMUSG00000097666.5	A330094K24Rik	5	1	4
ENSMUSG00000097960.3	A330074K22Rik	5	3	2
ENSMUSG00000098708.10	Gm27252	5	5	0
ENSMUSG00000099137.2	Gm10603	5	5	0
ENSMUSG00000099364.4	5730419F03Rik	5	4	1
ENSMUSG00000099411.4	2310015D24Rik	5	0	5
ENSMUSG00000100750.2	Gm29084	5	5	0
ENSMUSG00000101102.4	Gm28609	5	1	4
ENSMUSG00000101304.4	Plet1os	5	0	5
ENSMUSG00000102101.3	Zbtb11os1	5	5	0
ENSMUSG00000105703.4	Gm43305	5	5	0
ENSMUSG00000106019.4	Gm43672	5	3	2
ENSMUSG00000106547.2	B230303O12Rik	5	5	0
ENSMUSG00000107096.5	Gm43597	5	3	2
ENSMUSG00000107451.2	Gm44421	5	4	1
ENSMUSG00000107585.3	3300002P13Rik	5	1	4
ENSMUSG00000108371.3	Gm38832	5	5	0
ENSMUSG00000109643.3	Gm31545	5	1	4
ENSMUSG00000110156.5	Gm42067	5	1	4
ENSMUSG00000110580.3	D830024N08Rik	5	1	4
ENSMUSG00000111080.2	Gm20300	5	0	5
ENSMUSG00000111422.3	1700027J07Rik	5	1	4
ENSMUSG00000113585.4	Gm19605	5	0	5
ENSMUSG00000113737.3	BB123696	5	5	0
ENSMUSG00000113831.2	Gm49602	5	5	0
ENSMUSG00000114035.3	Gm31126	5	1	4
ENSMUSG00000115186.3	Gm49417	5	4	1
ENSMUSG00000116056.4	Gm4544	5	0	5
ENSMUSG00000116851.3	Gm35576	5	0	5
ENSMUSG00000118107.3	Gm34455	5	0	5
ENSMUSG00000120006.2	Gm57352	5	3	2
ENSMUSG00000120013.2	Gm57273	5	5	0
ENSMUSG00000120178.2	Gm53617	5	1	4
ENSMUSG00000120183.2	1700085D22Rik	5	0	5
ENSMUSG00000120414.2	Gm32261	5	0	5
ENSMUSG00000120507.2	2310047K21Rik	5	1	4
