MitoCarta3.0_MitoPathways	Dominant_Direction	Hit_Count	Pathway_Total_Genes	P_value	FDR	Genes
OXPHOS > OXPHOS assembly factors	DOWN	8	67	2.15674906014072e-05	0.00138031939849006	Taco1, Atpaf1, Cmc2, Bcs1l, Coa5, Dmac2, Cox10, Smim20
OXPHOS > Complex IV > CIV assembly factors	DOWN	5	29	0.000134056274982289	0.00428980079943323	Taco1, Cmc2, Coa5, Cox10, Smim20
Mitochondrial central dogma > Translation > Mitochondrial ribosome	DOWN	6	83	0.00335285979192993	0.0715276755611717	Mrpl18, Mrpl19, Mrpl34, Mrps11, Mrps25, Mrps24
Metabolism > Detoxification > Xenobiotic metabolism	DOWN	3	23	0.00725603777950546	0.116096604472087	Akr1b10, Bphl, Abhd10
Mitochondrial dynamics and surveillance > Fusion	DOWN	2	9	0.0101328078189503	0.128747854170988	Miga2, Opa1
Small molecule transport > SLC25A family	DOWN	4	51	0.0120701113285301	0.128747854170988	Slc25a15, Slc25a19, Slc25a23, Slc25a35
Signaling > Calcium homeostasis > EF hand proteins	DOWN	2	11	0.0151274144602313	0.138307789350686	Slc25a23, Rhot2
Metabolism > Vitamin metabolism > Vitamin B1 metabolism	DOWN	1	1	0.0174970918960842	0.139976735168673	Slc25a19
Metabolism > Metals and cofactors > Coenzyme Q metabolism	DOWN	2	13	0.0209653004621765	0.149086581064366	Pdss2, Coq5
Small molecule transport	DOWN	2	15	0.0275822799246331	0.159623241993893	Mrs2, Slc30a9
Metabolism > Metals and cofactors > Heme synthesis and processing	DOWN	2	16	0.0311638104003178	0.159623241993893	Hccs, Cox10
Mitochondrial central dogma > Translation > Translation factors	DOWN	2	16	0.0311638104003178	0.159623241993893	Taco1, Hemk1
Metabolism > Nucleotide metabolism	DOWN	1	2	0.0346888688252442	0.159623241993893	Antkmt
Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications	DOWN	2	17	0.0349175841861641	0.159623241993893	Trmt2b, Mrm2
OXPHOS > Complex I > CI subunits	DOWN	3	43	0.0391753641396228	0.167148220329057	Ndufb2, Ndufv3, Ndufa13
Metabolism > Lipid metabolism > Fatty acid oxidation	DOWN	3	45	0.0439218350938684	0.175687340375474	Hadh, Acot11, Mcee
Metabolism > Vitamin metabolism > Vitamin B2 metabolism	DOWN	1	3	0.0515806438302899	0.178180748201554	Flad1
OXPHOS > Cytochrome C	DOWN	1	3	0.0515806438302899	0.178180748201554	Hccs
Mitochondrial central dogma > Translation > mt-tRNA synthetases	DOWN	2	22	0.0560287141604574	0.178180748201554	Qrsl1, Sars2
Metabolism > Metals and cofactors > Fe-S cluster biosynthesis	DOWN	2	23	0.0606737309586432	0.178180748201554	Bola3, Glrx5
Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing	DOWN	2	23	0.0606737309586432	0.178180748201554	Dhodh, Nme6
Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications	UP	2	21	0.0612496321942843	0.178180748201554	Nsun2, Trmt1
Metabolism > Carbohydrate metabolism > Propanoate metabolism	DOWN	1	4	0.0681776377503668	0.181807034000978	Mcee
Mitochondrial dynamics and surveillance > Cristae formation	DOWN	1	4	0.0681776377503668	0.181807034000978	Opa1
Metabolism > Vitamin metabolism > Vitamin A metabolism	DOWN	1	5	0.0844849808166903	0.190287314427559	Akr1b10
OXPHOS > Complex V > CV assembly factors	DOWN	1	5	0.0844849808166903	0.190287314427559	Atpaf1
Mitochondrial central dogma > mtRNA metabolism > mtRNA granules	DOWN	2	28	0.0856829780588772	0.190287314427559	Fastkd1, Mrm2
Metabolism > Metals and cofactors > Molybdenum cofactor synthesis and proteins	UP	1	5	0.0928106532193421	0.190287314427559	Mocs1
Metabolism > Amino acid metabolism > GABA metabolism	DOWN	1	6	0.100507714220732	0.190287314427559	Aldh5a1
Metabolism > Carbohydrate metabolism	DOWN	1	6	0.100507714220732	0.190287314427559	Rpia
OXPHOS > Complex III > CIII assembly factors	DOWN	1	6	0.100507714220732	0.190287314427559	Bcs1l
Protein import, sorting and homeostasis > Protein import and sorting > Import motor	DOWN	1	6	0.100507714220732	0.190287314427559	Dnajc15
Signaling > Calcium homeostasis > Mitochondrial permeability transition pore	DOWN	1	6	0.100507714220732	0.190287314427559	Ppif
Metabolism > Metals and cofactors > Fe-S-containing proteins	DOWN	2	31	0.101920578545901	0.190287314427559	Bola3, Glrx5
OXPHOS > OXPHOS subunits	DOWN	4	102	0.104063375077571	0.190287314427559	Hccs, Ndufb2, Ndufv3, Ndufa13
Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex	DOWN	1	7	0.116250791655345	0.201082450430867	Micos10
Mitochondrial dynamics and surveillance > Trafficking	DOWN	1	7	0.116250791655345	0.201082450430867	Rhot2
Metabolism > Amino acid metabolism > Urea cycle	DOWN	1	8	0.13171908082928	0.221842662449314	Slc25a15
Metabolism > Nucleotide metabolism > Nucleotide import	DOWN	1	9	0.146917364955571	0.223874079932299	Slc25a23
Mitochondrial central dogma > Translation	DOWN	1	9	0.146917364955571	0.223874079932299	Mtres1
Mitochondrial central dogma > mtRNA metabolism > Transcription	DOWN	1	9	0.146917364955571	0.223874079932299	Mtres1
Protein import, sorting and homeostasis > Protein import and sorting > TOM	DOWN	1	9	0.146917364955571	0.223874079932299	Tomm40l
Metabolism > Electron carriers > Q-linked reactions, other	DOWN	1	11	0.176522637189615	0.262731366979892	Dhodh
Signaling	DOWN	1	12	0.190938782283187	0.277729137866454	Mrs2
Metabolism > Metals and cofactors > NAD biosynthesis and metabolism	DOWN	1	13	0.205103239101605	0.279289517074525	Sirt5
Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing	DOWN	1	13	0.205103239101605	0.279289517074525	Fastkd1
Mitochondrial dynamics and surveillance > Organelle contact sites	DOWN	1	13	0.205103239101605	0.279289517074525	Miga2
