# --- Comparative Meta-Gene Profiler (CMGP) Results ---
# Total Datasets (N)   : 52 across 4 groups ['Cachexia', 'Sepsis', 'Disuse', 'Denervation']
# Input Significance   : PValue < 0.1
# Permutations         : 100000
# Mode                 : eFPR Boundary (min datasets where eFPR < 0.05)
# k-adj/boundary Applied: Ignored
# Expected Common FPR (ecFPR)          : 9.0402e-07
# Base Universe Size (for ecFP)        : 15937
# Expected Common False Positives (ecFP) : 0.01441 genes
# Sorting Criteria     : Count_Ratio (Average of hit ratios across all groups)
# ----------------------------------------------------
# Group 'Cachexia' (N=27, Univ=15937):
#    UP Req  : 11 (mFDR=0.0897) | E_UP=342.01, eFPR_UP=2.1460e-02
#    DOWN Req: 10 (mFDR=0.1651) | E_DOWN=636.92, eFPR_DOWN=3.9965e-02
#    Total Expected Noise (E) : 978.93 genes, Total eFPR : 6.1425e-02
# Group 'Sepsis' (N=7, Univ=14625):
#    UP Req  : 4 (mFDR=0.2526) | E_UP=560.61, eFPR_UP=3.8332e-02
#    DOWN Req: 4 (mFDR=0.1985) | E_DOWN=309.03, eFPR_DOWN=2.1130e-02
#    Total Expected Noise (E) : 869.65 genes, Total eFPR : 5.9463e-02
# Group 'Disuse' (N=11, Univ=14874):
#    UP Req  : 5 (mFDR=0.2289) | E_UP=422.55, eFPR_UP=2.8409e-02
#    DOWN Req: 5 (mFDR=0.2825) | E_DOWN=734.35, eFPR_DOWN=4.9372e-02
#    Total Expected Noise (E) : 1156.90 genes, Total eFPR : 7.7780e-02
# Group 'Denervation' (N=7, Univ=15535):
#    UP Req  : 5 (mFDR=0.1108) | E_UP=332.31, eFPR_UP=2.1391e-02
#    DOWN Req: 5 (mFDR=0.0664) | E_DOWN=150.58, eFPR_DOWN=9.6929e-03
#    Total Expected Noise (E) : 482.89 genes, Total eFPR : 3.1084e-02
# ----------------------------------------------------
Geneid	Geneid_clean	GeneSymbol	Dominant_Direction	Count_Ratio	Cachexia_sig_up	Cachexia_sig_down	Sepsis_sig_up	Sepsis_sig_down	Disuse_sig_up	Disuse_sig_down	Denervation_sig_up	Denervation_sig_down	Final_Avg_logFC	Final_Median_logFC	Cachexia_Avg_logFC	Sepsis_Avg_logFC	Disuse_Avg_logFC	Denervation_Avg_logFC	Cachexia_Median_logFC	Sepsis_Median_logFC	Disuse_Median_logFC	Denervation_Median_logFC	ERP145838_Sham_vs_334P_cells_injection_edgeR_results.tsv	SRP055049_Control_vs_C26_cells_injection_edgeR_results.tsv	SRP125804_Fasted_vs_CACS_edgeR_results.tsv	SRP148786_PBS_vs_LLC_edgeR_results.tsv	SRP172440_Control_vs_KPC_tumore_cells_injection_edgeR_results.tsv	SRP224400_Control_vs_C26_cells_injection_edgeR_results.tsv	SRP238415_Control_vs_C26_cells_injection_edgeR_results.tsv	SRP246188_PBSinjection_vs_LLC_cells_injection_edgeR_results.tsv	SRP279572_Control_vs_KPC_edgeR_results.tsv	SRP288335_Control_vs_LLC_edgeR_results.tsv	SRP304002_CACS_neg_vs_CACS_pos_edgeR_results.tsv	SRP321471_Control_vs_C26_cells_injection_edgeR_results.tsv	SRP337393_Control_vs_Melanoma_edgeR_results.tsv	SRP342685_Control_vs_KPC_tumore_cells_injection_edgeR_results.tsv	SRP400565_Control_vs_TOV21G_cells_injection_edgeR_results.tsv	SRP426212_Control_vs_KIC_edgeR_results.tsv	SRP436115_Control_vs_LLC_cells_injection_edgeR_results.tsv	SRP441976_Control_vs_KPC_tumore_cells_injection_edgeR_results.tsv	SRP468164_Control_vs_C26_injection_edgeR_results.tsv	SRP518009_Control_vs_C26_injection_edgeR_results.tsv	SRP519530_Control_vs_KIC_edgeR_results.tsv	SRP526827_PBS_vs_LLC_edgeR_results.tsv	SRP535687_Control_vs_Kras-IKKaL_cells_injection_edgeR_results.tsv	SRP544896_Control_vs_CT26_cells_injection_edgeR_results.tsv	SRP560874_Control_vs_B0092_cells_injection_edgeR_results.tsv	SRP567610_Control_vs_C26_injection_edgeR_results.tsv	SRP597284_Control_vs_CT26_cells_injection_edgeR_results.tsv	ERP131935_Sham_vs_CLP_edgeR_results.tsv	SRP388005_Saline_vs_LPS_edgeR_results.tsv	SRP475349_Saline_vs_LPS_edgeR_results.tsv	SRP511238_Saline_vs_LPS_edgeR_results.tsv	SRP553590_Sham_vs_CLP_edgeR_results.tsv	SRP591840_Sham_vs_CS_edgeR_results.tsv	SRP646634_Sham_vs_CS_edgeR_results.tsv	SRP114869_Control_vs_Hindlimb_unloading_edgeR_results.tsv	SRP220337_Control_vs_Casting_edgeR_results.tsv	SRP293052_Control_vs_Hindlimb_unloading_edgeR_results.tsv	SRP307991_Control_vs_Hindlimb_unloading_edgeR_results.tsv	SRP395698_Control_vs_Casting_edgeR_results.tsv	SRP396700_Control_vs_Casting_edgeR_results.tsv	SRP449926_Control_vs_Casting_edgeR_results.tsv	SRP454976_Control_vs_Hindlimb_unloading_edgeR_results.tsv	SRP455216_male_Control_vs_Hindlimb_unloading_edgeR_results.tsv	SRP522174_Control_vs_Hindlimb_unloading_edgeR_results.tsv	SRP588888_Control_vs_Hindlimb_unloading_edgeR_results.tsv	ERP143166_Control_vs_Denervation_edgeR_results.tsv	SRP196460_Control_vs_Denervation_edgeR_results.tsv	SRP371311_Control_vs_Denervation_edgeR_results.tsv	SRP406911_Control_vs_Denervation_edgeR_results.tsv	SRP411450_Sham_vs_Denervation_edgeR_results.tsv	SRP420335_Sham_vs_SCI_edgeR_results.tsv	SRP484329_Control_vs_Denervation_edgeR_results.tsv
ENSMUSG00000021595.19	ENSMUSG00000021595	Nsun2	UP	0.9494949494949495	24	1	7	0	10	0	7	0	0.7441039297721281	0.6021515322807938	0.7116696109357221	0.7293775241449738	0.4454461871682059	1.089922396839611	0.7180991469185716	0.486203917643016	0.3684065715667906	1.1262592290206572	0.3856507014273372	1.1669513076351512	0.6643683159099456	0.6198304002426426	1.6017591212172486	0.7180991469185716	0.9605700847915796	0.79353746555792	1.0967607044437009	0.1987896250587621	0.3973140575145521	-0.6278652074591003	0.2300538009088992	1.26378483443874	0.4180004107318831	0.5026850402347749	0.8520272812421835	1.0475873322753866	-0.0709859231721231	0.7769470516043161	0.8002180617131731	0.1553353550149618	1.431561575284209	1.581366603906171	1.1128388688747477	0.4229415601889843	0.7149519187598815	1.5003059930098783	0.3625109415595763	0.3233734232076686	0.4265425509861493	1.330554999110741	0.486203917643016	0.6761508434977873	0.4351902939809728	0.513948471791059	0.5341963316476172	0.4628013435337694	1.4552764534102474	0.1286141855893479	0.2473567074195803	0.3684065715667906	0.3100461884226528	0.262621178678309	0.1814503328099192	1.175440369711986	1.318819127301189	0.9449524215687906	0.8625046576514243	1.346890148560639	0.8545908240625906	1.1262592290206572
ENSMUSG00000039703.17	ENSMUSG00000039703	Nploc4	UP	0.9360269360269361	25	0	7	0	9	1	7	0	1.0736401485420697	1.0392993785528717	1.330237529812493	1.4026540773136607	0.5884230613181414	0.9732459257239839	1.2705706217860704	1.2544743177359814	0.4661459047173779	0.824124439369762	1.1453159047499577	2.5762347383646103	0.782956319492318	1.3167703838348923	3.1118811301467537	1.2705706217860704	1.938328478041488	0.8417318126422724	1.6234822869942331	0.1615459412207561	0.7798157448024325	0.0857654391384435	0.6390915926777133	2.25054405668325	0.3476044262598769	1.035451235788161	0.4196383390980233	2.0877152368566803	0.918956320909884	2.1426233468357005	1.3697854955668851	0.0716524206944127	2.793426029035736	1.9583705557712012	1.7260723689554398	1.1482363614121829	1.3728467171779355	2.276583549330288	0.1367884286122677	1.0011286517913431	0.7010037982504723	2.483072734645005	1.2544743177359814	1.9655270608302664	0.4661459047173779	0.7531546793412334	0.9731486335463868	0.3124218932299359	1.9156308612947743	-0.164118625123285	0.8162632709658337	0.601479262467117	0.2600794347596682	0.2283994465615461	0.3100489127389661	0.824124439369762	1.795486775207899	0.7951081137844296	0.6781099214274586	1.3076432805852665	0.9188351490020198	0.4934138006910513
ENSMUSG00000035247.18	ENSMUSG00000035247	Hectd1	UP	0.9360269360269361	25	1	7	0	9	0	7	0	0.8787959062905144	0.8166429641585089	1.050531064795097	1.4658440268021724	0.3646022013614541	0.634206332203334	0.897851417521367	1.671747387075363	0.3355675522066452	0.7354345107956507	1.0060786233746817	2.087437671991446	-0.2583483629078084	0.9209274107960472	2.120863294873617	0.9726548175038024	1.6467121952402572	0.6242574974743259	0.897851417521367	0.3970289706525275	0.5723729166446783	0.0614749616997293	0.7433311189728904	1.6198919867742898	0.2020411322785599	0.5700043400517166	0.5386353872720728	1.9397000073252788	1.3269944338547246	1.5123002773022742	0.8125371883236715	0.3593464480341733	2.169410443432386	0.8924575873184051	0.8790945930773333	1.8115076048509795	1.937774785734188	1.5531683921821335	0.2025389312103516	1.613863637970017	1.6849447132706263	1.85444458758973	1.671747387075363	1.6802005383169858	0.2716368068566659	-0.2442097431410778	1.0047445385309948	0.2392843720150321	0.7388053081155058	0.0258764364351435	0.3355675522066452	0.3805575055193013	0.4275494120832866	0.3268443112374771	0.5039677151170208	0.9334505001994744	0.7624803117377299	0.7783851956962884	0.276894224373708	0.7354345107956507	0.5611543892093176	0.3916451934111687
ENSMUSG00000021477.10	ENSMUSG00000021477	Ctsl	UP	0.9322991822991823	26	1	6	0	10	0	7	0	1.4188123053876889	1.64344204532821	1.5246470660316986	2.027306754448939	0.6248381338597226	1.4984572672103957	1.736295982148956	2.0871211132735707	0.4679858243958072	1.550588108507464	1.7794007349058163	2.645112889632381	0.5640535256310564	0.7259174621196666	2.58164731378146	1.736295982148956	2.3299329534285107	1.0611476649670022	2.032024279006686	0.4733083313831199	0.5002319524341013	-0.1913699794061069	1.386488663231526	2.536306378930837	0.5783869710942202	1.480409201181074	0.8315667275665556	1.7675890039463986	1.2285249270574012	2.6870079841627383	1.953423711591128	0.4758598936794558	2.262974255517063	1.9316840676514528	0.8559056245630863	2.267502487589034	2.6841377750612456	3.312032332837404	-0.0525315175664776	1.8124651629031052	2.639975400174273	2.0871211132735707	2.561681060910844	1.830403728609853	0.3136425752530887	1.0022359083021903	0.6486856317206037	0.1679041748198532	2.0904212867397445	0.0350553873068543	1.183870258445174	0.1284070511954272	0.4679858243958072	0.1650128985712792	0.6699984757069256	0.793076515178591	2.28137337679935	1.6161798779387415	0.6658223168479549	2.2836073768734604	1.550588108507464	1.298553298327208
ENSMUSG00000036390.9	ENSMUSG00000036390	Gadd45a	UP	0.9267676767676768	24	1	7	0	9	0	7	0	2.640957904070669	2.2601899630725484	1.614826073308897	2.6730910023770584	1.2956866089161776	4.9802279316805445	1.6089446418134186	2.911435284331678	1.0823735924478604	5.453441127252516	1.44501048156473	1.4024275810781903	0.8440670036930782	1.2276519634843164	3.3280810083543915	1.20432589038534	2.9660827971211505	2.300963185437728	3.2172836846928328	0.5730679571346434	0.7559100723577414	-1.4678932560238107	1.7531550419215391	2.440859987397766	2.6296908619744648	1.6153010562810848	1.6089446418134186	2.695272072696853	0.7379163512926086	2.509432407489939	0.9579326844468128	0.4393487522489505	2.321861630658301	1.7633455614257736	1.8516142493569427	1.5201637408028048	0.9584865702526312	3.397610774198054	0.4190719391262341	2.289598134375106	3.9598334000428648	2.911435284331678	2.993547640379655	2.740539844185818	1.0823735924478604	2.3907770603732303	1.4675980154519723	0.698819293986635	3.365178883726643	0.1905452300925147	2.3058608239149336	0.1424149187010925	1.0013705145762606	0.2217203280141073	1.385894036792701	4.630628468094979	5.623340354985309	5.577508602074387	5.859849739052797	5.06883665398452	2.647990576319306	5.453441127252516
ENSMUSG00000047407.18	ENSMUSG00000047407	Tgif1	UP	0.9132996632996633	25	1	7	0	8	0	7	0	1.9511327174656476	2.0617927743362765	1.956123487042618	2.5237040995552653	0.8523913399309503	2.472311943333757	1.662787519664776	2.934024417572037	0.6966399202531812	2.4607980290077776	2.799936810505123	3.019614464978145	0.6692854316994936	1.2974514616086208	4.412532923941126	1.5115853480854025	3.041744424715185	1.662787519664776	3.204129059863491	0.121079474975937	1.4163244307662055	-0.8682350061150871	1.8282081488311968	3.361551187338621	1.639847104059328	1.539899133889559	1.4849789652043732	2.1884818666691377	1.426092060111141	2.536976135456491	2.1481788267977704	0.4161812855694654	2.973214003703648	1.6371654358036134	0.9535155933718048	3.2237317907083374	3.1690762679477853	3.879367909514749	0.2624583848120995	1.567177980531507	3.50397533507437	2.934024417572037	3.3004889750496997	2.2184356943323964	0.4696720090193267	1.548376618813303	0.6966399202531812	0.1719452074048161	2.5802206236169307	-0.1105227623168161	1.4873935564234897	0.9060180804692444	0.7973119191800424	0.139591380174414	0.6896581862025213	1.7634648862017837	3.0298489453083213	2.2480429021674766	3.238800696407524	2.4607980290077776	1.9667246535210237	2.5985034907223903
ENSMUSG00000031360.15	ENSMUSG00000031360	Ctps2	UP	0.91005291005291	25	0	5	0	11	0	7	0	1.4034072769048052	1.6405069748059589	1.6090508399849526	1.826423208621805	0.8753802323169027	1.30277482669556	1.6588317919848594	2.0659524612765603	0.7455945006892949	1.6221821576270583	0.9890179996778854	3.172133436538285	0.8522620525885897	0.9060420940986448	2.7337483307375976	2.0485231775687645	2.4175472768151414	1.489198231780094	2.458185317479599	0.5254412589027716	1.0261564225353892	0.296488954569156	1.9792737578543496	2.784849056052475	0.6986967589913141	1.0806691988092705	0.7444510547647112	2.671921295058556	1.473687337695183	2.570453011213073	1.7666627602631195	0.0046420283930019	2.242330925691793	2.1356200102067	1.9985358147025152	1.6588317919848594	0.7190033246208756	3.3601998516278417	-0.1988617622069412	1.459811380772931	0.0849107843630502	3.633961784093198	2.0659524612765603	2.3789879604259974	0.7006032681984021	1.5465841831584992	0.7611102091140928	0.3939110946515505	1.9838834059367707	0.3685091915889344	1.271033817880134	0.4755313055510064	0.7565824030373957	0.7455945006892949	0.6258391756798484	0.3507787149013729	1.7252355519674334	0.9508244708639104	1.0507214335381525	1.7938831587947497	1.6221821576270583	1.6257982991762443
ENSMUSG00000031490.7	ENSMUSG00000031490	Eif4ebp1	UP	0.9095719095719096	26	1	7	0	9	0	6	0	1.6223691968625535	1.5524452717303265	2.315592552162247	2.388768261855881	0.9728655084103847	0.8122504650217006	2.3472595921624926	2.4370751485489324	0.7576309512981606	0.6855820682932385	2.103145578073866	3.62476387720066	0.7420518046793207	1.275054487715359	3.913079482320055	2.2229095922475297	3.690898799735503	1.6993627258015556	3.436860206088116	0.5688054770226313	1.362065964139647	-1.0316342025855496	2.3472595921624926	3.925067653144272	1.4282379221291617	2.335084536501429	1.2917901116263577	3.484914189011555	2.546287375191784	3.955791603843252	2.582596788956873	0.7711184475060984	3.313476005744468	3.3646621569359514	2.298635503304999	2.661519811255157	2.6071934186281216	3.973443272195149	0.1399413364613923	1.951121062667624	1.2854364435875532	3.7408262739553697	2.4370751485489324	3.1935342955751507	0.649228601020495	2.3419512467039763	1.576299555359358	0.7444658561002183	2.2268000006216906	-0.1291323611716651	0.9575854035869336	0.8699312520291838	0.1833945294285136	0.523365557537365	0.7576309512981606	0.0893555472369943	1.559632906434978	0.6855820682932385	0.6192448111523674	1.32875854697388	0.7806080654139038	0.622571309646542
ENSMUSG00000005625.16	ENSMUSG00000005625	Psmd4	UP	0.9095719095719096	26	0	6	0	9	0	7	0	1.0382016299109442	1.035191103858562	1.2401188438222708	1.1717164429768103	0.6150822700446229	1.1258889628000728	1.021691802186737	1.1188612950168848	0.6017362269147525	1.048690405530387	0.6706581157736144	2.327619512706286	0.9778750969792136	0.7545111010683347	2.6613341128111023	1.1159931202345177	1.9965242329226327	0.9870160847007784	1.86459354352343	0.1813727940721774	0.8376596197826861	0.4042411372705498	0.6390822705292635	2.005917076555547	0.4515214091738635	1.021691802186737	0.4555553974781798	1.7729824960200498	1.166373067548665	2.132341558877062	1.3648959322045775	0.253391839885927	2.254070655255461	1.834518388304776	1.5430363155954256	0.8960773234673164	0.9123547782731376	2.185589776956153	-0.0312443594639663	0.5830916862895823	0.6625583408799266	2.0235786060528964	1.1188612950168848	1.6595797551061957	0.7297056432321902	1.1709846285172876	0.9211618502457638	0.2814800042336431	1.736767946631785	-0.0460040376246583	0.859761793723975	0.6017362269147525	-0.011632797987652	0.1997042099462048	0.3222395026575605	1.10513584480002	1.7011683574345915	1.048690405530387	0.9207061589483942	1.6731520177012291	0.5601129786969249	0.8722569764889644
ENSMUSG00000032078.18	ENSMUSG00000032078	Zpr1	UP	0.9095719095719096	26	1	6	0	9	0	7	0	0.9654138114927113	0.9702141634803352	1.151012451625813	1.1774483098297481	0.497051822517337	1.0361426619979475	1.028097328967245	1.160506190533359	0.3813712684604533	0.9123309979934252	0.7404408390286807	2.3638712615997544	0.6843196783044826	0.4669356085391394	2.1135029953618742	1.2769330983356268	1.9815040945677065	0.8585992883736313	1.7412659759460936	0.212769562400333	0.5888248930930251	-0.3748799848781756	0.7958773185735432	1.9278643722596192	0.5027728472314882	1.028097328967245	0.5722706545079366	1.7018482050492123	0.9523951842464748	1.7556310851295054	1.5176214988585397	0.3640698950755432	1.7799193543847582	1.87882625487876	1.54090827987303	0.9959266125818969	1.1092199916072232	2.1548436856555013	0.0195089370189701	0.5205436152797945	0.8921343262320522	2.228338057519615	1.160506190533359	1.2662633565689456	0.5447619720089638	0.6235759772477257	0.5763322611938931	0.2602382587466465	1.7302751971253736	0.1137760414506812	0.3813712684604533	0.3957391040190618	0.2359031671696151	0.3285736943573464	0.2770231059109464	0.7048242064186239	1.6284646221552388	0.8756177905027788	1.0265882670941249	1.4597376698628108	0.6454350799586287	0.9123309979934252
