# Dataset_Count: 27
# Stats Mode: PValue<0.1, FC_Val>=1
# Dataset_Hits: UP=4061, DOWN=4044
# Dataset_Hits: UP=4987, DOWN=4498
# Dataset_Hits: UP=3300, DOWN=3381
# Dataset_Hits: UP=3365, DOWN=3133
# Dataset_Hits: UP=4442, DOWN=5024
# Dataset_Hits: UP=2883, DOWN=2259
# Dataset_Hits: UP=4504, DOWN=4430
# Dataset_Hits: UP=2500, DOWN=2454
# Dataset_Hits: UP=3185, DOWN=2720
# Dataset_Hits: UP=2001, DOWN=1937
# Dataset_Hits: UP=3071, DOWN=3364
# Dataset_Hits: UP=4447, DOWN=4395
# Dataset_Hits: UP=4023, DOWN=3312
# Dataset_Hits: UP=4369, DOWN=4017
# Dataset_Hits: UP=3915, DOWN=4168
# Dataset_Hits: UP=2556, DOWN=2648
# Dataset_Hits: UP=2759, DOWN=2255
# Dataset_Hits: UP=4099, DOWN=3646
# Dataset_Hits: UP=3524, DOWN=3293
# Dataset_Hits: UP=4675, DOWN=4457
# Dataset_Hits: UP=2855, DOWN=3092
# Dataset_Hits: UP=1081, DOWN=743
# Dataset_Hits: UP=4458, DOWN=4357
# Dataset_Hits: UP=3712, DOWN=3731
# Dataset_Hits: UP=2995, DOWN=2653
# Dataset_Hits: UP=3492, DOWN=3383
# Dataset_Hits: UP=3692, DOWN=3106
# --- Comparative Meta-Gene Profiler (CMGP) (100000 perms) ---
# Universe Size: 15937
# UP Required  : 11 (mFDR=0.0897) | E=342.01, eFPR=2.1460e-02
# DOWN Required: 10 (mFDR=0.1651) | E=636.92, eFPR=3.9965e-02
# -----------------------------------------------------
Geneid	GeneSymbol	Total_Sig	Sig_UP	Sig_DOWN
ENSMUSG00000001119.8	Col6a1	27	1	26
ENSMUSG00000001576.16	Ergic1	27	1	26
ENSMUSG00000002274.15	Metrn	27	0	27
ENSMUSG00000017781.19	Pitpna	27	1	26
ENSMUSG00000020108.5	Ddit4	27	27	0
ENSMUSG00000020241.14	Col6a2	27	1	26
ENSMUSG00000020263.15	Appl2	27	27	0
ENSMUSG00000020439.19	Smtn	27	0	27
ENSMUSG00000020484.20	Xbp1	27	26	1
ENSMUSG00000020623.12	Map2k6	27	0	27
ENSMUSG00000020661.17	Dnmt3a	27	1	26
ENSMUSG00000021039.10	Snw1	27	27	0
ENSMUSG00000021477.10	Ctsl	27	26	1
ENSMUSG00000021903.12	Galnt15	27	27	0
ENSMUSG00000022146.13	Osmr	27	27	0
ENSMUSG00000030748.10	Il4ra	27	27	0
ENSMUSG00000031490.7	Eif4ebp1	27	26	1
ENSMUSG00000031812.17	Map1lc3b	27	27	0
ENSMUSG00000032078.18	Zpr1	27	26	1
ENSMUSG00000032411.16	Tfdp2	27	26	1
ENSMUSG00000035914.12	Cd276	27	1	26
ENSMUSG00000035941.16	Ibtk	27	0	27
ENSMUSG00000037010.8	Apln	27	0	27
ENSMUSG00000037447.17	Arid5a	27	26	1
ENSMUSG00000037820.16	Tgm2	27	26	1
ENSMUSG00000040128.10	Pnrc1	27	27	0
ENSMUSG00000042155.4	Klhl23	27	1	26
ENSMUSG00000044006.9	Cilp2	27	1	26
ENSMUSG00000047146.18	Tet1	27	1	26
ENSMUSG00000049327.18	Kmt5a	27	0	27
ENSMUSG00000049800.14	Sertad2	27	25	2
ENSMUSG00000050043.17	Tmx2	27	1	26
ENSMUSG00000056481.8	Cd248	27	1	26
