# Dataset_Count: 11
# Stats Mode: PValue<0.1, FC_Val>=1
# Dataset_Hits: UP=3258, DOWN=5727
# Dataset_Hits: UP=3131, DOWN=2386
# Dataset_Hits: UP=3285, DOWN=3218
# Dataset_Hits: UP=1680, DOWN=1935
# Dataset_Hits: UP=4861, DOWN=4462
# Dataset_Hits: UP=870, DOWN=792
# Dataset_Hits: UP=1925, DOWN=1985
# Dataset_Hits: UP=2572, DOWN=3132
# Dataset_Hits: UP=1400, DOWN=2283
# Dataset_Hits: UP=1950, DOWN=2244
# Dataset_Hits: UP=4137, DOWN=5382
# --- Comparative Meta-Gene Profiler (CMGP) (100000 perms) ---
# Universe Size: 14874
# UP Required  : 5 (mFDR=0.2289) | E=422.55, eFPR=2.8409e-02
# DOWN Required: 5 (mFDR=0.2825) | E=734.35, eFPR=4.9372e-02
# -----------------------------------------------------
Geneid	GeneSymbol	Total_Sig	Sig_UP	Sig_DOWN
ENSMUSG00000001143.14	Lman2l	11	1	10
ENSMUSG00000004789.11	Dlst	11	1	10
ENSMUSG00000005882.19	Uqcc1	11	1	10
ENSMUSG00000006494.12	Pdk1	11	2	9
ENSMUSG00000009863.15	Sdhb	11	1	10
ENSMUSG00000017707.10	Serinc3	11	10	1
ENSMUSG00000018428.16	Akap1	11	1	10
ENSMUSG00000020321.17	Mdh1	11	1	10
ENSMUSG00000021622.4	Ckmt2	11	1	10
ENSMUSG00000021903.12	Galnt15	11	11	0
ENSMUSG00000021906.15	Oxnad1	11	1	10
ENSMUSG00000022186.15	Oxct1	11	1	10
ENSMUSG00000022548.15	Apod	11	10	1
ENSMUSG00000026123.12	Plekhb2	11	1	10
ENSMUSG00000026773.20	Pfkfb3	11	9	2
ENSMUSG00000026888.15	Grb14	11	1	10
ENSMUSG00000027887.12	Sypl2	11	0	11
ENSMUSG00000028339.18	Col15a1	11	0	11
ENSMUSG00000028607.17	Cpt2	11	1	10
ENSMUSG00000028710.19	Atpaf1	11	1	10
ENSMUSG00000028803.19	Nipal3	11	1	10
ENSMUSG00000031360.15	Ctps2	11	11	0
ENSMUSG00000031502.12	Col4a1	11	1	10
ENSMUSG00000034205.17	Loxl2	11	1	10
ENSMUSG00000035181.7	Heatr5a	11	1	10
ENSMUSG00000036046.15	5031439G07Rik	11	0	11
ENSMUSG00000036880.11	Acaa2	11	1	10
ENSMUSG00000036890.14	Gtdc1	11	10	1
ENSMUSG00000037152.12	Ndufc1	11	0	11
ENSMUSG00000038121.7	Fam210a	11	2	9
ENSMUSG00000038302.15	Afg1l	11	1	10
ENSMUSG00000038764.15	Ptpn3	11	1	10
ENSMUSG00000040666.21	Sh3bgr	11	0	11
ENSMUSG00000041733.11	Coq5	11	1	10
ENSMUSG00000046598.16	Bdh1	11	1	10
ENSMUSG00000048126.17	Col6a3	11	1	10
ENSMUSG00000057469.9	E2f6	11	0	11
ENSMUSG00000062908.13	Acadm	11	2	9
ENSMUSG00000070436.13	Serpinh1	11	1	10
ENSMUSG00000072946.13	Ptgr2	11	1	10
ENSMUSG00000078486.4	Perm1	11	1	10
ENSMUSG00000000168.11	Dlat	10	0	10
ENSMUSG00000000532.12	Acvr1b	10	8	2
ENSMUSG00000000563.18	Atp5pb	10	0	10
ENSMUSG00000001119.8	Col6a1	10	0	10
ENSMUSG00000001229.10	Dpp9	10	0	10
ENSMUSG00000001334.11	Fndc5	10	1	9
ENSMUSG00000001416.14	Cct3	10	2	8
ENSMUSG00000001435.16	Col18a1	10	1	9
ENSMUSG00000001506.11	Col1a1	10	0	10
ENSMUSG00000001983.8	Taco1	10	0	10
ENSMUSG00000002274.15	Metrn	10	0	10
ENSMUSG00000002379.8	Ndufa11	10	0	10
ENSMUSG00000002846.10	Timmdc1	10	0	10
ENSMUSG00000003477.6	Inmt	10	10	0
ENSMUSG00000003955.9	Fam162a	10	0	10
ENSMUSG00000004748.6	Mtfp1	10	0	10
ENSMUSG00000005299.7	Letm1	10	0	10
ENSMUSG00000005373.14	Mlxipl	10	0	10
ENSMUSG00000005683.9	Cs	10	0	10
ENSMUSG00000005718.9	Tfap4	10	9	1
ENSMUSG00000006717.8	Acot13	10	0	10
ENSMUSG00000007122.12	Casq1	10	0	10
ENSMUSG00000008200.16	Fnbp4	10	7	3
ENSMUSG00000009927.10	Rps25	10	10	0
ENSMUSG00000011257.20	Pabpc4	10	0	10
ENSMUSG00000014606.15	Slc25a11	10	1	9
ENSMUSG00000015243.5	Abca1	10	10	0
ENSMUSG00000015478.14	Rnf5	10	1	9
ENSMUSG00000015656.18	Hspa8	10	0	10
ENSMUSG00000017817.12	Jph2	10	0	10
ENSMUSG00000018554.14	Ybx2	10	0	10
ENSMUSG00000018574.15	Acadvl	10	1	9
ENSMUSG00000018593.14	Sparc	10	1	9
ENSMUSG00000018882.13	Mrpl45	10	0	10
ENSMUSG00000019055.16	Plod1	10	1	9
ENSMUSG00000019179.11	Mdh2	10	0	10
ENSMUSG00000019558.15	Slc6a8	10	0	10
ENSMUSG00000019763.12	Rmnd1	10	0	10
ENSMUSG00000019797.12	Mtres1	10	0	10
ENSMUSG00000019802.14	Sec63	10	10	0
ENSMUSG00000019864.15	Rtn4ip1	10	0	10
ENSMUSG00000019932.9	Kera	10	0	10
ENSMUSG00000020241.14	Col6a2	10	0	10
ENSMUSG00000020475.4	Pgam2	10	0	10
ENSMUSG00000020650.16	Bcap29	10	10	0
ENSMUSG00000020814.14	Mxra7	10	1	9
ENSMUSG00000020846.7	Rflnb	10	0	10
ENSMUSG00000021044.16	Adck1	10	0	10
ENSMUSG00000021180.10	Rps6ka5	10	8	2
ENSMUSG00000021223.14	Papln	10	0	10
ENSMUSG00000021255.18	Esrrb	10	1	9
ENSMUSG00000021377.16	Dek	10	10	0
ENSMUSG00000021477.10	Ctsl	10	10	0
ENSMUSG00000021500.19	Ddx46	10	10	0
ENSMUSG00000021577.15	Sdha	10	1	9
ENSMUSG00000021595.19	Nsun2	10	10	0
ENSMUSG00000021767.21	Kat6b	10	9	1
ENSMUSG00000021868.8	Ppif	10	0	10
ENSMUSG00000022244.8	Amacr	10	1	9
ENSMUSG00000022383.14	Ppara	10	1	9
ENSMUSG00000022546.6	Gpt	10	1	9
ENSMUSG00000022594.15	Lynx1	10	0	10
ENSMUSG00000022707.18	Gbe1	10	7	3
ENSMUSG00000022724.16	Riox2	10	0	10
ENSMUSG00000022748.9	Cmss1	10	0	10
ENSMUSG00000022889.8	Mrpl39	10	0	10
ENSMUSG00000022890.14	Atp5pf	10	0	10
ENSMUSG00000023951.19	Vegfa	10	0	10
ENSMUSG00000024104.12	Washc2	10	9	1
ENSMUSG00000024120.13	Lrpprc	10	1	9
ENSMUSG00000024132.7	Eci1	10	1	9
ENSMUSG00000024143.16	Rhoq	10	1	9
ENSMUSG00000024481.6	Lvrn	10	9	1
ENSMUSG00000024962.14	Vegfb	10	0	10
ENSMUSG00000025006.19	Sorbs1	10	4	6
ENSMUSG00000025190.14	Got1	10	1	9
ENSMUSG00000025404.16	R3hdm2	10	0	10
ENSMUSG00000025486.18	Sirt3	10	0	10
ENSMUSG00000025488.10	Cox8b	10	0	10
ENSMUSG00000025745.13	Hadha	10	1	9
ENSMUSG00000025795.9	Rassf3	10	1	9
ENSMUSG00000025940.7	Tmem70	10	2	8
ENSMUSG00000026043.19	Col3a1	10	1	9
ENSMUSG00000026062.13	Slc9a2	10	0	10
ENSMUSG00000026135.18	Zfp142	10	0	10
ENSMUSG00000026172.13	Bcs1l	10	0	10
ENSMUSG00000026193.16	Fn1	10	1	9
ENSMUSG00000026260.13	Ndufa10	10	0	10
ENSMUSG00000026489.14	Coq8a	10	2	8
ENSMUSG00000026743.17	Mllt10	10	9	1
ENSMUSG00000026837.17	Col5a1	10	1	9
ENSMUSG00000026895.8	Ndufa8	10	0	10
ENSMUSG00000027305.10	Ndufaf1	10	0	10
ENSMUSG00000027332.12	Ivd	10	1	9
ENSMUSG00000027384.7	Ndufaf5	10	0	10
ENSMUSG00000027452.12	Acss1	10	2	8
ENSMUSG00000027765.7	P2ry1	10	0	10
ENSMUSG00000027809.15	Etfdh	10	1	9
ENSMUSG00000027966.21	Col11a1	10	0	10
ENSMUSG00000027984.9	Hadh	10	1	9
ENSMUSG00000028060.15	Khdc4	10	9	1
ENSMUSG00000028223.9	Decr1	10	1	9
ENSMUSG00000028383.18	Hsdl2	10	1	9
ENSMUSG00000028525.17	Pde4b	10	9	1
ENSMUSG00000028622.12	Mrpl37	10	1	9
ENSMUSG00000028706.15	Nsun4	10	1	9
ENSMUSG00000028737.16	Aldh4a1	10	1	9
ENSMUSG00000028763.19	Hspg2	10	0	10
ENSMUSG00000028773.9	Fabp3	10	1	9
ENSMUSG00000028809.17	Srrm1	10	9	1
ENSMUSG00000028836.15	Slc30a2	10	2	8
ENSMUSG00000029017.14	Pmpcb	10	0	10
ENSMUSG00000029059.10	Prxl2b	10	0	10
ENSMUSG00000029086.16	Prom1	10	9	1
ENSMUSG00000029174.19	Tbc1d1	10	7	3
ENSMUSG00000029287.15	Tgfbr3	10	9	1
ENSMUSG00000029591.15	Ung	10	0	10
ENSMUSG00000029661.17	Col1a2	10	0	10
ENSMUSG00000030045.11	Mrpl19	10	1	9
ENSMUSG00000030089.16	Slc41a3	10	0	10
ENSMUSG00000030123.16	Plxnd1	10	0	10
ENSMUSG00000030246.13	Ldhb	10	1	9
ENSMUSG00000030255.14	Sspn	10	0	10
ENSMUSG00000030869.12	Ndufab1	10	0	10
ENSMUSG00000030967.16	Zranb1	10	9	1
ENSMUSG00000031167.17	Rbm3	10	10	0
ENSMUSG00000031299.11	Pdha1	10	1	9
ENSMUSG00000031333.8	Abcb7	10	2	8
ENSMUSG00000031378.15	Abcd1	10	1	9
ENSMUSG00000031672.9	Got2	10	1	9
ENSMUSG00000031782.16	Coq9	10	0	10
ENSMUSG00000031790.9	Mmp15	10	0	10
ENSMUSG00000031799.11	Tpm4	10	1	9
ENSMUSG00000031824.16	6430548M08Rik	10	6	4
ENSMUSG00000031972.6	Acta1	10	0	10
ENSMUSG00000031990.16	Jam3	10	2	8
ENSMUSG00000032177.19	Pde4a	10	0	10
ENSMUSG00000032314.15	Etfa	10	2	8
ENSMUSG00000032579.15	Hemk1	10	1	9
ENSMUSG00000032766.10	Gng11	10	1	9
ENSMUSG00000032786.17	Alas1	10	0	10
ENSMUSG00000032892.15	Rangrf	10	0	10
ENSMUSG00000033429.11	Mcee	10	0	10
ENSMUSG00000034457.11	Eda2r	10	9	1
ENSMUSG00000035513.21	Ntng2	10	1	9
ENSMUSG00000036256.14	Igfbp7	10	1	9
ENSMUSG00000036777.9	Anln	10	10	0
ENSMUSG00000036932.15	Aifm1	10	1	9
ENSMUSG00000037514.19	Pank2	10	9	1
ENSMUSG00000037818.18	Abhd18	10	1	9
ENSMUSG00000037887.12	Dusp8	10	0	10
ENSMUSG00000038204.14	Asb10	10	0	10
ENSMUSG00000038240.14	Pdss2	10	1	9
ENSMUSG00000038375.16	Trp53inp2	10	0	10
ENSMUSG00000039474.14	Wfs1	10	1	9
ENSMUSG00000039601.17	Rcan2	10	0	10
ENSMUSG00000039703.17	Nploc4	10	9	1
ENSMUSG00000039914.7	Coq10a	10	0	10
ENSMUSG00000040043.18	Rbms2	10	0	10
ENSMUSG00000040048.15	Ndufb10	10	0	10
ENSMUSG00000041057.11	Wdr43	10	10	0
ENSMUSG00000041130.11	Zfp598	10	9	1
ENSMUSG00000042185.15	Nfrkb	10	9	1
ENSMUSG00000042834.16	Nrep	10	0	10
ENSMUSG00000043822.19	Adamtsl5	10	1	9
ENSMUSG00000045160.15	Bola3	10	0	10
ENSMUSG00000045193.14	Cirbp	10	10	0
ENSMUSG00000045377.6	Tmem88	10	1	9
ENSMUSG00000045664.6	Cdc42ep2	10	0	10
ENSMUSG00000045968.8	Teddm2	10	9	1
ENSMUSG00000046329.15	Slc25a23	10	0	10
ENSMUSG00000047187.10	Rab2a	10	10	0
ENSMUSG00000047343.5	Mettl21c	10	0	10
ENSMUSG00000047446.19	Arl4a	10	10	0
ENSMUSG00000049327.18	Kmt5a	10	0	10
ENSMUSG00000049422.8	Chchd10	10	0	10
ENSMUSG00000050043.17	Tmx2	10	0	10
ENSMUSG00000050821.15	Fam131a	10	0	10
ENSMUSG00000051627.4	H1f4	10	0	10
ENSMUSG00000052738.15	Suclg1	10	0	10
ENSMUSG00000053192.10	Mllt11	10	6	4
ENSMUSG00000053460.9	Ggcx	10	1	9
ENSMUSG00000054676.18	1600014C10Rik	10	0	10
ENSMUSG00000054978.4	Kbtbd13	10	0	10
ENSMUSG00000055044.13	Pdlim1	10	2	8
ENSMUSG00000056121.17	Fez2	10	0	10
ENSMUSG00000056167.9	Cnot10	10	10	0
ENSMUSG00000056481.8	Cd248	10	1	9
ENSMUSG00000057229.12	Dmac2	10	0	10
ENSMUSG00000057388.10	Mrpl18	10	0	10
ENSMUSG00000057421.13	Las1l	10	9	1
ENSMUSG00000058076.13	Sdhc	10	0	10
ENSMUSG00000058291.15	Zfp68	10	10	0
ENSMUSG00000058600.14	Rpl30	10	10	0
ENSMUSG00000058927.7	Gm10053	10	0	10
ENSMUSG00000059447.14	Hadhb	10	1	9
ENSMUSG00000061758.14	Akr1b10	10	0	10
ENSMUSG00000061816.16	Myl1	10	0	10
ENSMUSG00000062373.9	Tmem65	10	2	8
ENSMUSG00000062627.10	Mysm1	10	10	0
ENSMUSG00000062797.15	Hikeshi	10	0	10
ENSMUSG00000062960.11	Kdr	10	0	10
ENSMUSG00000063275.17	Hacd1	10	0	10
ENSMUSG00000067369.13	Trmt2b	10	0	10
ENSMUSG00000068220.7	Lgals1	10	3	7
