Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Con_1	CPM_Con_2	CPM_Con_3	CPM_Con_4	CPM_Denervation_1	CPM_Denervation_2	CPM_Denervation_3	CPM_Denervation_4
ENSMUSG00000026251.14	Chrnd	6.2959271769279725	5.880405394081514	624.7075104939289	6.057473945080154e-10	4.851297891540292e-6	1.9908195257869041	1.107304697879008	1.4676660440863711	1.4143685379344266	117.37054741932185	113.38811025274588	94.91764077866074	139.0769237656369
ENSMUSG00000021260.9	Hhipl1	4.938238175609949	5.917078318763713	616.664368949565	6.434098097811469e-10	4.851297891540292e-6	4.330032468586516	3.276717983519513	4.472886991501321	3.18232921035246	102.91801729397716	116.12442853162179	122.34648791965303	126.21698797258989
ENSMUSG00000022952.18	Runx1	6.0578409386204894	7.107643941757162	613.9442946268364	6.567848680500787e-10	4.851297891540292e-6	5.2756717433352955	4.045051855517192	3.8205909719073787	3.21447394985097	330.7078952211229	254.2931290402552	249.53336062889295	251.89915819953322
ENSMUSG00000032511.18	Scn5a	6.6396140043274805	5.207301024268533	556.6837241896814	1.0355615273164477e-9	4.851297891540292e-6	0.9954097628934521	0.4745591562338605	0.7454811652502202	0.7714737479642327	65.21141620570758	62.351162579329895	70.53132121969448	93.93344405356073
ENSMUSG00000027107.4	Chrna1	5.172477923170006	7.511266651870488	540.2891919889269	1.18986032389448e-9	4.851297891540292e-6	9.705245188211157	11.253831419260122	9.155440560729268	9.225540236072284	304.3282770857619	374.0762303267785	300.95668665540876	440.2765541547719
ENSMUSG00000111293.3	Gm34006	6.207630838552326	2.9573410523303503	531.9170634604085	1.2793755131721372e-9	4.851297891540292e-6	0.24885244072336302	0.1807844404700421	0.2562591505547632	0.1285789579940388	18.003151713232157	14.726926467208589	13.253434542916446	14.80472759539816
ENSMUSG00000051985.13	Igfn1	7.732180753113444	9.306560646454507	525.7081856416662	1.3510676443517821e-9	4.851297891540292e-6	8.859146889751724	4.858581837632381	5.591108739376652	4.500263529791358	1416.8230354539912	1269.989878039635	1174.7613884327347	1179.832256793857
ENSMUSG00000023243.10	Kcnk5	4.053841477000272	3.770107767023991	457.5886076581809	2.5715657303230478e-9	6.346070164163378e-6	1.6921965969188684	1.3106871934078053	1.6307400489848567	1.5429474959284655	22.753983415335085	29.330872337613766	21.827830455898912	28.539819699503184
ENSMUSG00000060716.8	Plekhh1	6.176156209849394	6.150922277854494	455.1750499039109	2.635336535373381e-9	6.346070164163378e-6	3.0359997768250286	1.7626482945829105	1.4210734712582322	1.6393817144239946	130.17278863762027	162.88780046611922	130.2985486454029	136.71886370528614
ENSMUSG00000026459.6	Myog	4.936250000063869	5.607639233083912	448.5123471594267	2.8215891668530362e-9	6.346070164163378e-6	2.5382948953783027	3.095933543049471	3.168294952313436	3.4716318658390475	111.5445274899009	76.46318606252142	74.08093673205819	115.1802944942471
ENSMUSG00000021728.9	Emb	5.126968197954747	5.5342609684391855	443.32838625638516	2.9776230947403887e-9	6.346070164163378e-6	2.4387539190889576	2.214609395758016	2.0267769180240363	3.6323555633315956	91.34099056727369	96.38604274467417	74.0578872806792	98.11474642861572
