Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_CTL-1-1	CPM_CTL-1-2	CPM_CTL-1-3	CPM_CTL-1-4	CPM_DN-1-1	CPM_DN-1-2	CPM_DN-1-3	CPM_DN-1-4
ENSMUSG00000032511.18	Scn5a	4.561212062091793	3.1656370740153856	162.53863640224208	4.141335219934887e-7	0.004031284021789733	0.946632310711347	0.5209774490127627	0.7974170242471417	0.6401845713060507	9.266445955941998	25.410141867014794	18.143468159761444	15.624738403962626
ENSMUSG00000022952.18	Runx1	2.582588955260323	4.182146596874976	142.91526365701816	7.215844707347945e-7	0.004031284021789733	4.504664099247099	5.131627872775713	5.334444920825706	5.720358911347614	20.651601916885813	40.650998562971196	30.994298178480197	31.80837102766264
ENSMUSG00000047407.18	Tgif1	2.5112336988537103	4.130893110887978	142.57867021410698	7.289395247372194e-7	0.004031284021789733	3.525389295062947	5.496312087084647	6.516821887812847	5.286685492075773	25.35467247743929	32.102524910179184	34.097535649667094	27.33721726976354
ENSMUSG00000047990.7	C2cd4a	4.691728708090579	0.7098298440202275	139.12452444854353	8.099640411509685e-7	0.004031284021789733	0.13056997389122027	0.10419548980255254	0.05499427753428563	0.16520892162736792	2.374817807804231	2.509643641186646	3.8647681389628255	3.42626456447703
ENSMUSG00000004939.8	Nmrk2	2.0144944364075625	5.551696187918487	133.3817154637832	9.70507415292094e-7	0.004031284021789733	16.190676762511313	16.671278368408405	19.275494275767112	22.199948843677564	63.11893212703206	66.45327224892141	84.49182758973902	86.40990632113702
ENSMUSG00000032802.9	Srxn1	3.4548044446352986	7.403330780201522	133.13646401071549	9.781900000298619e-7	0.004031284021789733	15.341971932218382	28.731906313053862	26.837207436731386	42.16957724538566	274.4777170216086	330.88082881770185	324.45014100593335	310.9638839121458
ENSMUSG00000031762.8	Mt2	5.619278142126754	5.282088595752144	120.94759702696913	1.4742019809044736e-6	0.004873677943434897	0.8813473237657368	1.53688347458765	1.6773254647957117	2.044460405138678	24.679479179142007	113.50909052117102	78.98976851505795	87.5276947606118
ENSMUSG00000026459.6	Myog	3.059141143930173	4.118835158941076	116.62682005762359	1.7209532948620668e-6	0.004873677943434897	2.5134719974059903	4.1938684645527395	4.179565092605708	3.923711888649988	20.861144664633244	42.16724159618813	24.083407368413667	36.64402101582526
ENSMUSG00000021091.9	Serpina3n	3.6017050503061014	3.85121323089003	115.34474690333886	1.803684706602765e-6	0.004873677943434897	1.860622127949889	1.5889812194889263	2.6122281828785674	2.6639938612413077	13.177910580560733	26.847958536444644	33.183698848335986	33.07195795924282
ENSMUSG00000039899.6	Fgl2	1.9778488773794942	4.940053702834722	112.48319158756253	2.0065411619852496e-6	0.004873677943434897	11.294302741590553	13.389120439628002	12.236226751378553	12.700435850103908	33.89936008002902	57.90479859612939	48.01450860327215	55.71932373294915
ENSMUSG00000036390.9	Gadd45a	2.8789769218383077	5.363663664351183	110.44580500178931	2.1680938802840566e-6	0.004873677943434897	8.389120822510902	7.97095496989527	11.246329755761412	11.729833435543123	42.53717779272873	97.32711745976962	69.1850611674429	80.57796663692079
ENSMUSG00000021701.9	Plk2	1.8944470319007616	4.426033598539174	105.31036474722822	2.651415365012867e-6	0.005463462310889431	6.561141188033819	9.92462040369313	9.788981401102843	10.057093104066022	29.661940070025395	33.305062488247785	31.37506351236816	40.87217728688202
ENSMUSG00000026822.15	Lcn2	4.174571261235242	2.2454255109363883	99.21900784382424	3.4074192571296177e-6	0.006336033178986983	0.45699490861927095	0.33863534185829575	0.5774399141099992	0.5782312256957877	3.585509239233839	9.175884563088674	10.261625748280606	12.514370572380642
