Geneid	Geneid_clean	Symbol	Dominant_Direction	Count_Ratio	Cachexia_sig_up	Cachexia_sig_down	Sepsis_sig_up	Sepsis_sig_down	Disuse_sig_up	Disuse_sig_down	Denervation_sig_up	Denervation_sig_down	Final_Avg_logFC	Final_Median_logFC	Cachexia_Avg_logFC	Sepsis_Avg_logFC	Disuse_Avg_logFC	Denervation_Avg_logFC	Cachexia_Median_logFC	Sepsis_Median_logFC	Disuse_Median_logFC	Denervation_Median_logFC	ERP145838_Sham_vs_334P_cells_injection_edgeR_results.tsv	SRP055049_Control_vs_C26_cells_injection_edgeR_results.tsv	SRP125804_Fasted_vs_CACS_edgeR_results.tsv	SRP148786_PBS_vs_LLC_edgeR_results.tsv	SRP172440_Control_vs_KPC_tumore_cells_injection_edgeR_results.tsv	SRP224400_Control_vs_C26_cells_injection_edgeR_results.tsv	SRP238415_Control_vs_C26_cells_injection_edgeR_results.tsv	SRP246188_PBSinjection_vs_LLC_cells_injection_edgeR_results.tsv	SRP279572_Control_vs_KPC_edgeR_results.tsv	SRP288335_Control_vs_LLC_edgeR_results.tsv	SRP304002_CACS_neg_vs_CACS_pos_edgeR_results.tsv	SRP321471_Control_vs_C26_cells_injection_edgeR_results.tsv	SRP337393_Control_vs_Melanoma_edgeR_results.tsv	SRP342685_Control_vs_KPC_tumore_cells_injection_edgeR_results.tsv	SRP400565_Control_vs_TOV21G_cells_injection_edgeR_results.tsv	SRP426212_Control_vs_KIC_edgeR_results.tsv	SRP436115_Control_vs_LLC_cells_injection_edgeR_results.tsv	SRP441976_Control_vs_KPC_tumore_cells_injection_edgeR_results.tsv	SRP468164_Control_vs_C26_injection_edgeR_results.tsv	SRP518009_Control_vs_C26_injection_edgeR_results.tsv	SRP519530_Control_vs_KIC_edgeR_results.tsv	SRP526827_PBS_vs_LLC_edgeR_results.tsv	SRP535687_Control_vs_Kras-IKKaL_cells_injection_edgeR_results.tsv	SRP544896_Control_vs_CT26_cells_injection_edgeR_results.tsv	SRP560874_Control_vs_B0092_cells_injection_edgeR_results.tsv	SRP567610_Control_vs_C26_injection_edgeR_results.tsv	SRP597284_Control_vs_CT26_cells_injection_edgeR_results.tsv	ERP131935_Sham_vs_CLP_edgeR_results.tsv	SRP388005_Saline_vs_LPS_edgeR_results.tsv	SRP475349_Saline_vs_LPS_edgeR_results.tsv	SRP511238_Saline_vs_LPS_edgeR_results.tsv	SRP553590_Sham_vs_CLP_edgeR_results.tsv	SRP591840_Sham_vs_CS_edgeR_results.tsv	SRP646634_Sham_vs_CS_edgeR_results.tsv	SRP114869_Control_vs_Hindlimb_unloading_edgeR_results.tsv	SRP220337_Control_vs_Casting_edgeR_results.tsv	SRP293052_Control_vs_Hindlimb_unloading_edgeR_results.tsv	SRP307991_Control_vs_Hindlimb_unloading_edgeR_results.tsv	SRP395698_Control_vs_Casting_edgeR_results.tsv	SRP396700_Control_vs_Casting_edgeR_results.tsv	SRP449926_Control_vs_Casting_edgeR_results.tsv	SRP454976_Control_vs_Hindlimb_unloading_edgeR_results.tsv	SRP455216_male_Control_vs_Hindlimb_unloading_edgeR_results.tsv	SRP522174_Control_vs_Hindlimb_unloading_edgeR_results.tsv	SRP588888_Control_vs_Hindlimb_unloading_edgeR_results.tsv	ERP143166_Control_vs_Denervation_edgeR_results.tsv	SRP196460_Control_vs_Denervation_edgeR_results.tsv	SRP371311_Control_vs_Denervation_edgeR_results.tsv	SRP406911_Control_vs_Denervation_edgeR_results.tsv	SRP411450_Sham_vs_Denervation_edgeR_results.tsv	SRP420335_Sham_vs_SCI_edgeR_results.tsv	SRP484329_Control_vs_Denervation_edgeR_results.tsv	MouseGeneID	HumanOrthologGeneID	Synonyms	Description	MitoCarta3.0_List	MitoCarta3.0_Evidence	MitoCarta3.0_SubMitoLocalization	MitoCarta3.0_MitoPathways	TrainingDataset	MitoCarta2.0_Score	MitoCarta2.0_FDR	MitoCarta2.0_List	MitoCarta2.0_Evidence	EnsemblGeneID	UniProt	ProteinLength	TargetP_Score	MitoDomain_Score	CoexpressionGnfN50_Score	PGC_Induction_Score	YeastMitoHomolog_Score	RickettsiaHomolog_Score	MSMS_Score	mm10_Chromosome	mm10_Start	mm10_Stop	MSMS_NUM_TISSUES	MSMS_NUM_PEPTIDES_UNIQUE	MSMS_NUM_SPECTRA	MSMS_TOTAL_INTENSITY	MSMS_PERCENT_COVERAGE	Tissues	cerebrum_total_peak_intensity_log10	cerebellum_total_peak_intensity_log10	brainstem_total_peak_intensity_log10	spinalcord_total_peak_intensity_log10	kidney_total_peak_intensity_log10	liver_total_peak_intensity_log10	heart_total_peak_intensity_log10	skeletalmuscle_total_peak_intensity_log10	adipose_total_peak_intensity_log10	smallintestine_total_peak_intensity_log10	largeintestine_total_peak_intensity_log10	stomach_total_peak_intensity_log10	placenta_total_peak_intensity_log10	testis_total_peak_intensity_log10	HPA_Main_Location_2020 (Reliability)
ENSMUSG00000021595.19	ENSMUSG00000021595	Nsun2	UP	0.94949494949495	24	1	7	0	10	0	7	0	0.744103929772128	0.602151532280794	0.711669610935722	0.729377524144974	0.445446187168206	1.08992239683961	0.718099146918572	0.486203917643016	0.368406571566791	1.12625922902066	0.385650701427337	1.16695130763515	0.664368315909946	0.619830400242643	1.60175912121725	0.718099146918572	0.96057008479158	0.79353746555792	1.0967607044437	0.198789625058762	0.397314057514552	-0.6278652074591	0.230053800908899	1.26378483443874	0.418000410731883	0.502685040234775	0.852027281242184	1.04758733227539	-0.0709859231721231	0.776947051604316	0.800218061713173	0.155335355014962	1.43156157528421	1.58136660390617	1.11283886887475	0.422941560188984	0.714951918759882	1.50030599300988	0.362510941559576	0.323373423207669	0.426542550986149	1.33055499911074	0.486203917643016	0.676150843497787	0.435190293980973	0.513948471791059	0.534196331647617	0.462801343533769	1.45527645341025	0.128614185589348	0.24735670741958	0.368406571566791	0.310046188422653	0.262621178678309	0.181450332809919	1.17544036971199	1.31881912730119	0.944952421568791	0.862504657651424	1.34689014856064	0.854590824062591	1.12625922902066	28114	54888	D13Wsu123e|Mi|Misu	NOL1/NOP2/Sun domain family member 2	MitoCarta3.0	literature,mito protein domain	Matrix	Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications	Tnon_mito	-6.4587	0.761	0	mito protein domain	ENSMUSG00000021595	Q1HFZ0	757	NA	SharedDomain	3	NA	NoMitoHomolog	NoHomolog	NA	chr13	69612015	69635779	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nucleoplasm (Approved)
ENSMUSG00000004748.6	ENSMUSG00000004748	Mtfp1	DOWN	0.896584896584897	0	26	1	5	0	10	0	7	-1.18934965750294	-1.13786666513869	-1.1702223036459	-1.15880906907194	-1.02214389387186	-1.40622336342207	-1.06222419546477	-1.10294067552945	-1.17279265474794	-1.49406737333255	-1.06222419546477	-1.94440369724567	-1.26005070048419	-0.898952313356011	-2.41117335355602	-0.922566731381279	-1.68505428666851	-0.808586046492237	-1.44689857839805	-0.153150843623206	-0.949007108822344	-0.328506981741824	-1.05610918190703	-1.83392627432645	-0.405434658468877	-0.858885879349897	-0.679811629432151	-1.46832952912359	-1.23954197480011	-2.00394659951156	-1.42279474888898	-0.368464570229774	-2.17705692312634	-1.35742248175967	-1.49040074784298	-0.647897676888769	-0.715404485549027	-1.23127655158654	0.158261578024273	-0.797452392974466	-1.8516095881198	-2.34102817330273	-0.94561768001487	-1.10294067552945	-1.49807827437829	-1.64088896845334	-0.956174390357435	-0.485066774436765	-1.64128980958721	0.0435031350847038	-1.23533602226658	-0.551565142548209	-1.59647998943447	-0.509413941464893	-1.17279265474794	-1.44618016809398	-1.49406737333255	-1.81181934351891	-1.51009187378673	-1.77365773908828	-0.829362052332097	-0.978384993801973	67900	51537	1700020C11Rik|2610507A21Rik|AV005788|Mtp1|Mtp18	mitochondrial fission process 1	MitoCarta3.0	literature, induction, coexpression, MS/MS+	Membrane	Mitochondrial dynamics and surveillance > Fission	Tmito	8.2128	0.03	1	literature, induction, coexpression, MS/MS+	ENSMUSG00000004748	Q9CRB8	166	NA	NA	14	1.18	NoMitoHomolog	NoHomolog	75-100ambig	chr11	4091480	4095431	14	14	302	1.12e+10	92	all 14	9.3	9.2	9.4	8.7	8.9	8.8	9.2	8.6	8.1	8.3	8.4	8.7	7.5	8.4	Mitochondria (Approved)
ENSMUSG00000001983.8	ENSMUSG00000001983	Taco1	DOWN	0.887325637325637	1	25	1	5	0	10	0	7	-0.856345217720546	-0.884402553993744	-1.0972307533561	-0.653416218061271	-0.925709220017888	-0.749024679446921	-1.13414798697204	-0.800553967428921	-0.968251140558567	-0.710768812543882	-0.955389829040965	-1.34877524883247	-1.13145622457166	-0.614076758134073	-1.6693958194081	-0.962510743200247	-1.42284356633172	-0.502238453777213	-1.48947271540446	-0.290638835022893	-0.963581706962682	0.21823787647893	-1.13414798697204	-1.90086357810186	-0.65214173014074	-0.80907696248692	-0.512677693332563	-1.26986111952839	-1.69329962274016	-1.54975980964917	-1.45054972903843	-0.0138876938036848	-1.96159315667916	-1.70849582063103	-1.42423037865653	-1.08503804958439	-1.32746498506218	-1.01369921475297	0.556259719040847	-0.364897720174644	-0.800553967428921	-1.29805605544148	-1.13399299790411	-0.518973289767614	-1.34634588183674	-1.56912831726991	-0.736009077731035	-0.79948423072454	-1.18618674026971	0.0972749848881831	-0.968251140558567	-0.711539649869956	-1.30552575205423	-0.570686565328839	-1.08691904944144	-0.587909254549649	-0.518920297651384	-1.02075142285595	-1.02185441771317	-0.889197799322272	-0.493770751492133	-0.710768812543882	70207	51204	2310066I18Rik|Ccdc44	translational activator of mitochondrially encoded cytochrome c oxidase I	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog, Rickettsial homolog, mito protein domain+, MS/MS++	Matrix	Mitochondrial central dogma > Translation > Translation factors | OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors	Tmito	26.2483	0.003	1	literature, APEX_matrix, targetP signal+, yeast mito homolog, Rickettsial homolog, mito protein domain+, MS/MS++	ENSMUSG00000001983	Q8K0Z7	294	1	MitoDomain	NA	NA	HomologMitoHighConf	Ortholog	50-75pure	chr11	106066106	106073612	14	23	252	8.09e+09	68	all 14	9	8.9	9.1	8.8	8.4	9	8.7	8.4	8.2	8.3	8.8	8.5	8.7	8.3	Mitochondria (Enhanced)
ENSMUSG00000038240.14	ENSMUSG00000038240	Pdss2	DOWN	0.881794131794132	1	23	1	6	1	9	0	7	-0.525889534971895	-0.526595847596779	-0.642542870967807	-0.65631218785497	-0.428406555895488	-0.376296525169313	-0.655663773383243	-0.747965951048421	-0.397527921810316	-0.339764845533635	-0.824296291474421	-1.3772564341776	-0.460317083975539	-0.431103656356585	-1.17312526317702	-0.622327077066152	-0.976067882344001	-0.36251891816188	-0.880331918991553	-0.158806229801772	-0.476489095275121	0.396147308603294	-0.860721730319308	-0.99396902627654	-0.276610909676202	-0.41928572050066	0.0990177133748503	-0.617817412515992	-0.593131724592846	-1.22954381095313	-0.690799116275048	-0.070472458954207	-1.19417714369102	-0.767581216675417	-0.855421290236285	-0.655663773383243	-0.875987353257391	-0.747965951048421	0.34343947929791	-0.425656171402928	-0.711891504384938	-1.30984723547091	-0.937856821447819	-0.804407110527682	-0.491946972910221	-1.10136264297305	-0.397527921810316	-0.0970677756459228	-0.935718135399557	0.167354224021595	-0.595879029569889	-0.287328273119978	-0.439986305355006	-0.258175906574439	-0.274833375513583	-0.251756674986334	-0.50127014705361	-0.325249953661327	-0.25803690872001	-0.601759305336732	-0.339764845533635	-0.356237840893543	71365	57107	5430420P03Rik|Gm60|P|Plmp|kd|mDL|mDLP1	prenyl (solanesyl) diphosphate synthase, subunit 2	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, coexpression+	MIM	Metabolism > Metals and cofactors > Coenzyme Q metabolism	Tmito	18.6966	0.003	1	literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, coexpression+	ENSMUSG00000038240	Q33DR3	401	2	SharedDomain	32	NA	OrthologMitoLowConf	Homolog	0-25ambig	chr10	43221485	43464882	2	5	10	34800000	17	smallintestine, largeintestine	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.2	7.3	NA	NA	NA	Cytosol (Enhanced)
ENSMUSG00000000168.11	ENSMUSG00000000168	Dlat	DOWN	0.878066378066378	0	24	1	5	0	10	0	7	-0.698693077852341	-0.75540052922687	-0.850916405294985	-0.593404917583577	-0.605636963322403	-0.744814025208399	-0.872435808856347	-0.633156490750446	-0.674820139780457	-0.835980918673284	-0.661070985596894	-1.32763886925564	-0.958587317011666	-0.574286664713721	-1.33724899136471	-0.755798998194315	-1.26967740190207	-0.680662593270879	-1.13436304018095	-0.0917948026526086	-0.73615731607257	-0.343187688707694	-1.06506321902674	-1.35735823551817	-0.364750837833136	-0.766629915020406	-0.167567642600784	-0.981321017556984	-1.10938884433202	-1.40075068953126	-1.14123433936677	-0.211367941409753	-1.1346353956164	-0.872435808856347	-1.2309144024351	-0.695491018787676	-0.605358966149317	-0.868571703985553	0.428111828573183	-0.416585751921015	-0.521819941736022	-1.23892789239561	-0.90288447086958	-0.633156490750446	-0.988123969457842	-1.06195929697101	-0.505995557219399	-0.27563524799344	-0.8773488008696	0.0632803798667637	-0.674820139780457	-0.421829848518908	-0.824936049206203	-0.35822819672995	-0.736409869666387	-0.848516120469222	-0.684235312049283	-0.925015423591585	-0.835980918673284	-0.861366166230726	-0.535676125221934	-0.522908110222761	235339	1737	6332404G05Rik|DLTA|PDC-E|PDC-E2	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++	Matrix	Metabolism > Carbohydrate metabolism > Pyruvate metabolism	Tmito	38.6712	0	1	literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++	ENSMUSG00000000168	Q8BMF4	642	3	MitoDomain	41	2.68	OrthologMitoLowConf	Homolog	50-75pure	chr9	50634632	50659780	14	36	2960	3.7e+11	60	all 14	10.6	10.3	10.7	10.5	10.4	9.8	10.4	10.5	10.5	9.9	10.1	10.1	10.1	10.5	Mitochondria (Enhanced)
ENSMUSG00000064120.15	ENSMUSG00000064120	Mocs1	UP	0.864117364117364	26	0	6	1	7	0	7	0	1.10282977961593	0.944474595597818	1.53998971914653	1.92278903044287	0.366999416570784	0.581540952303526	1.38348957806459	2.23509708460115	0.441065562025306	0.505459613131051	1.47833794428352	2.75801691842779	1.03822928738651	0.470210420739073	3.62512522247311	1.57740907661552	2.1221066905454	0.918791109275568	1.70017555842534	0.459321466144265	0.617925314145534	0.608319634394171	1.1104610689625	3.34917941569666	0.416115272076922	1.15321951855038	0.595481566059578	2.76895167380609	1.27333655382322	2.1974408216661	0.935221727578782	-0.332817775444288	3.55291385134678	1.62159989958132	1.38348957806459	2.09548670325215	2.08567389907966	2.69963588841812	-0.192293486057427	2.37151037945007	1.51298094175572	2.23509708460115	2.62941908459086	2.20317332034163	0.506969043998926	0.0925152424700913	0.579788839526335	0.441065562025306	0.907716126084906	-0.0598848383257862	0.382093401312034	0.205468465647633	0.479058459364021	-0.113857792797398	0.616061072972552	0.324223982813317	1.01405866722806	0.429329745898456	0.520435990681948	0.241962816951044	1.03531584942081	0.505459613131051	56738	4337	3110045D15Rik|AI043170|AW536397	molybdenum cofactor synthesis 1	MitoCarta3.0	APEX_matrix, targetP signal, mito protein domain+, MS/MS+	Matrix	Metabolism > Metals and cofactors > Molybdenum cofactor synthesis and proteins	Tmito	12.1526	0.014	1	APEX_matrix, targetP signal, mito protein domain+, MS/MS+	ENSMUSG00000064120	Q5RKZ7	636	2	MitoDomain	2	NA	NoMitoHomolog	NoHomolog	25-50pure	chr17	49428363	49455430	7	27	151	1.78e+09	49	cerebrum, liver, adipose, smallintestine, largeintestine, stomach, placenta	7.3	NA	NA	NA	NA	8.9	NA	NA	8.5	8.5	8.1	7.4	8.4	NA	Cytosol (Approved)
ENSMUSG00000001909.17	ENSMUSG00000001909	Trmt1	UP	0.855339105339105	24	1	6	1	9	0	6	0	0.74170325246023	0.678915194759404	1.03195379244565	0.876829187062206	0.485166031820876	0.572863998512187	1.07891705176049	0.853026300698604	0.484781450712024	0.504804088820204	0.7340746254019	2.15699447400632	0.73101560623473	0.427833472027946	2.08750975095195	1.08990617341997	1.74023318683779	0.586315012625728	1.29875719581307	0.162692949731259	0.658785526290603	-0.467422415948215	0.67610271737328	1.76376265940615	0.478435299982585	1.09990882958088	0.511276077609857	1.46877919779424	1.07891705176049	1.65624459199368	1.20957404168709	0.262105268879683	1.67132931439827	1.83842111053078	1.25831850791004	0.775599415221263	0.90728275451122	1.71372697961404	-0.133213958881223	0.495517230667658	0.792725339643544	1.53179237121793	0.853026300698604	0.884230046474885	0.590935219291527	0.489358348140992	0.537233005368873	0.24954165613801	1.1943635851325	0.106518414313573	0.724598949462724	0.484781450712024	0.293975854467846	0.193955017359126	0.471564849642442	0.453618862744391	1.20334547756823	0.504804088820204	0.564411134433769	0.985463607571928	0.265550323061759	0.0328544953850308	212528	55621	6720406L13Rik|6720477L24|D8Ertd812|D8Ertd812e	tRNA methyltransferase 1	MitoCarta3.0	targetP signal+, yeast mito homolog, mito protein domain, coexpression	Matrix	Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications	Tnon_mito	6.4278	0.044	1	targetP signal+, yeast mito homolog, mito protein domain, coexpression	ENSMUSG00000001909	Q3TX08	663	1	SharedDomain	6	NA	HomologMitoLowConf	NoHomolog	NA	chr8	84689246	84699808	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cytosol;Plasma membrane (Approved)
ENSMUSG00000031482.10	ENSMUSG00000031482	Slc25a15	DOWN	0.845598845598846	0	24	1	6	0	7	0	7	-0.606811178149633	-0.600410977468421	-0.877682451897282	-0.76581201518952	-0.330478497279116	-0.453271748232615	-0.787345952802354	-0.785519279149796	-0.339061855767553	-0.415302675787046	-0.898812843504437	-1.79583400370159	-0.283461919160972	-0.643895279713993	-2.01302672820189	-0.869664418368124	-1.40609525170706	-0.454034863322552	-1.0109001324092	-0.126337772195016	-0.497633050462655	-0.174946068305061	-0.524595627164927	-1.68141533576636	-0.579406830473506	-0.558600519719667	-0.238074850080827	-1.38356522625329	-0.703221616731995	-1.47278842013165	-0.787345952802354	-0.418731140721604	-1.34227233079676	-0.934221067019119	-0.664541394513342	-1.17308751268046	-1.0609160453182	-0.785519279149796	0.177422219790694	-0.667401585430246	-0.843413387592317	-0.618706067926931	-1.74608309872671	-0.876982907291331	-0.523128022822227	-0.542105719058748	-0.0154931237755997	-0.165813715718674	-0.527502473550763	0.0053875810670433	-0.419942249901382	-0.339061855767553	-0.298122407970178	-0.185908891532654	-0.623572591039544	-0.336005773815574	-0.522080535552327	-0.538069544487551	-0.415302675787046	-0.380678752484606	-0.325341962181353	-0.655422993319847	18408	10166	D630044L02Rik|Or|Ornt1	solute carrier family 25 (mitochondrial carrier ornithine transporter), member 15	MitoCarta3.0	literature, yeast mito homolog+, mito protein domain+, coexpression, MS/MS++	MIM	Metabolism > Amino acid metabolism > Urea cycle | Small molecule transport > SLC25A family	Tmito	20.454	0.004	1	literature, yeast mito homolog+, mito protein domain+, coexpression, MS/MS++	ENSMUSG00000031482	Q9WVD5	301	NA	MitoDomain	8	NA	OrthologMitoLowConf	NoHomolog	75-100pure	chr8	22375549	22398621	7	20	257	1.42e+10	84	spinalcord, kidney, liver, adipose, smallintestine, largeintestine, placenta	NA	NA	NA	7.7	8.9	9.9	NA	NA	7.6	9.7	7.9	NA	8.8	NA	NA
ENSMUSG00000021906.15	ENSMUSG00000021906	Oxnad1	DOWN	0.842352092352092	0	24	1	4	1	10	0	7	-0.704945487300172	-0.772549226450469	-0.742877707578777	-0.790700290084998	-0.629420544011774	-0.656783407525138	-0.737907041442459	-0.896462537715795	-0.807191411458479	-0.720416138718051	-1.18054025598926	-0.623267705363652	-0.892200594897488	-0.714746257716793	-1.58996204459882	-0.293405625716282	-0.751407353798446	-0.619837997774482	-0.828868515641684	-0.0737254712608808	-0.737907041442459	-0.676668369830848	-0.715065881667252	-1.3640497993681	-0.136705210273075	-0.78199015061268	-0.354654971002752	-0.690754369325653	-0.305699883711919	-1.0914544663906	-0.791049457046459	0.0923755622902204	-1.73741376601253	-0.761674961644514	-0.867779952153695	-0.620990920349109	-0.948252643327768	-0.927531727420739	0.502450454926517	-0.896462537715795	-0.513886638411609	-1.01169622592406	-2.08156200209648	-0.606213353952824	-0.98377648501901	-0.99843532597845	-0.512769157598506	-0.457056029828312	-0.927836822957057	0.212633602918116	-0.813530034742107	-0.495791898023164	-0.895948653662793	-0.243923767779753	-0.807191411458479	-0.448202864114455	-0.720416138718051	-0.82186349966203	-0.9387876514352	-0.767289968170052	-0.572710316429137	-0.328213414147038	218885	92106	2410002F01Rik|AW492292|BC019806	oxidoreductase NAD-binding domain containing 1	MitoCarta3.0	APEX_matrix, GFP, targetP signal, yeast mito homolog, mito protein domain, coexpression++, MS/MS++	Matrix	0	Tmito	20.4507	0.004	1	APEX_matrix, GFP, targetP signal, yeast mito homolog, mito protein domain, coexpression++, MS/MS++	ENSMUSG00000021906	Q8VE38	311	3	SharedDomain	44	NA	HomologMitoLowConf	NoHomolog	50-75pure	chr14	32085727	32103203	10	20	87	8.92e+08	55	cerebrum, spinalcord, liver, heart, adipose, smallintestine, largeintestine, stomach, placenta, testis	7.2	NA	NA	7.5	NA	7.6	8.4	NA	8	7.6	8.3	7.5	8.3	7	Nucleoplasm (Approved)
ENSMUSG00000061758.14	ENSMUSG00000061758	Akr1b10	DOWN	0.842352092352092	0	24	1	4	0	10	0	7	-0.961973360733163	-0.783125529009335	-1.07679017845921	-0.813632702443879	-0.704361939944115	-1.25310862208545	-0.986306495626995	-0.579944562391674	-0.561032347156742	-1.30573815451698	-0.650221401832785	-2.17118154486813	-1.43295197492647	-0.654986615026635	-1.60194497111011	-1.01206397809725	-1.53492497575925	-0.565224441217211	-1.77338497013296	-0.172554436042135	-0.840730799467695	-0.0997032461324373	-1.06137444862324	-1.86056346625953	-0.609636719682115	-0.615276452772308	-0.470101932473444	-1.15699860604543	-0.986306495626995	-1.96143500864364	-0.96954757053753	0.0013591703640336	-1.65372804587442	-2.16786764475595	-1.41452362755216	-0.791667350013002	-0.845793265289784	-1.1717072815201	0.164433420227125	-0.17474802642924	-0.579944562391674	-2.38024603625449	-0.521231409839258	-1.03198502089952	-0.94510851962378	-1.10410927150896	-0.792907519125038	-0.503135801161672	-1.4814279435654	-0.074884015709491	-0.736602111256026	-0.527015424905401	-0.561032347156742	-0.517810587783389	-0.503947797589366	-0.916805128582323	-1.29266910249841	-1.46053444913224	-1.35392981537211	-1.75633586440295	-0.68574784009316	-1.30573815451698	67861	57016	2310005E10Rik|Akr1b16	aldo-keto reductase family 1, member B10 (aldose reductase)	MitoCarta3.0	induction, coexpression, MS/MS++	unknown	Metabolism > Vitamin metabolism > Vitamin A metabolism | Metabolism > Detoxification > Xenobiotic metabolism	Tpossible_mito	10.5009	0.021	1	induction, coexpression, MS/MS++	ENSMUSG00000061758	G5E895	316	NA	NonMitoDomain	23	1.32	NoMitoHomolog	NoHomolog	75-100pure	chr6	34384246	34396949	12	20	313	1.04e+10	79	cerebrum, brainstem, spinalcord, kidney, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis	8.3	NA	8.9	9.1	9.1	NA	9.2	8.2	9.4	8.5	8.3	7.8	9.3	8.8	Cytosol (Supported)
